,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
PABPC1,141,black,black,0,-0.7226645930806133,0.4736091879272379,-0.6138089549353862
TXNIP,140,black,black,0,-0.7253490121372688,0.5488024848196877,-0.5110980971377471
MBNL1,141,black,black,0,-0.7283103993342122,-0.07045044690298688,0.0577943740957348
ZFP36L2,141,black,black,0,-0.7355238928648685,0.5215027902853205,-0.5548213409425198
TNRC6B,141,black,black,0,-0.7457458850334722,-0.21811371586274747,-0.0019186894103330977
CHST11,141,black,black,0,-0.7479818649796871,-0.28547030338738966,0.12046450129890679
BAZ1A,141,black,black,0,-0.7496545045507461,-0.18780734621166642,0.006472323130790868
DNAJA1,140,black,black,0,-0.750100310305599,0.18418624178998627,-0.42649160350848414
RNF149,141,black,black,0,-0.7590015560326119,-0.12550491561335775,-0.08062556271500719
ANKRD44,141,black,black,0,-0.7653793584671639,-0.20848178582113203,0.02474527264152238
DNAJB6,141,black,black,0,-0.7727588132947681,-0.16787508818998947,-0.10147164074787585
RAPGEF1,141,black,black,0,-0.7729715967630529,-0.050581515343720684,-0.24043078567830845
PTPRJ,141,black,black,0,-0.7819912258027011,-0.23816709760721222,0.025323727660683124
SYNE2,141,black,black,0,-0.7983362096899252,-0.22967111468903206,-0.061428250148847265
MT-ND4L,141,black,black,0,-0.7996418776626499,-0.014388528565147277,-0.36782915135290106
EPB41,141,black,black,0,-0.8010298962024022,-0.1342263533709719,-0.11365171481525006
JUN,141,black,black,0,-0.8040227433275452,0.26275993351693466,-0.4483939669626298
SMAP2,141,black,black,0,-0.8046074739895634,-0.04081166571693902,-0.263215123447151
CYTH1,141,black,black,0,-0.807750130761729,-0.21967922838857482,-0.1415771212384515
HLA-B,141,black,black,0,-0.8087669244125996,0.6243682591684053,-0.7471127169923795
PARP8,141,black,black,0,-0.8103582850279089,-0.17711783482874555,0.028962930282389835
CEMIP2,141,black,black,0,-0.8104035604334643,0.1471843628409033,-0.49000410748259304
AC105402-3,72,black,black,0,-0.8203382419653057,0.41817895536570654,-0.6327032182710638
RAP1B,141,black,black,0,-0.8215179980614651,0.03651915986058266,-0.2900815569799318
RPS29,139,black,black,0,-0.8290920717446315,0.4649731122275685,-0.6265387092937301
PTPRC,139,black,black,0,-0.8478679750551267,-0.015657928866123903,-0.18326086063370006
IQGAP2,141,black,black,0,-0.8502515119986761,-0.10004382957952855,-0.27618811902558743
FNBP1,141,black,black,0,-0.8542199368623199,-0.158315905971467,-0.12213369010275066
PPP2R5C,141,black,black,0,-0.8576297612731764,-0.07511751478466791,-0.19718044012793048
CELF2,141,black,black,0,-0.860284204509661,-0.08965353188180225,-0.16215181423846556
PLCG2,139,black,black,0,-0.8610001407834266,-0.11015622235815757,-0.1916035543819767
MT-ATP8,141,black,black,0,-0.8634293506989157,0.03960774808385563,-0.4231041367578253
CNOT6L,141,black,black,0,-0.8637763196302074,-0.09011970326306024,-0.18175240367994105
RNF213,141,black,black,0,-0.8694884883594073,-0.09746700632188432,-0.34007281260731953
RABGAP1L,141,black,black,0,-0.8716746930029777,-0.05617804403626903,-0.17224156536970595
PITPNC1,141,black,black,0,-0.8792462795708124,-0.013602757581261185,-0.39811840396351383
SSH2,141,black,black,0,-0.8857366519595378,-0.07348897099794667,-0.18439494925851538
