,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
HNRNPU,99,black,black,0,0.18517416203388168,0.10003883112219324,0.11919954438564853,0.12579333437230625
EIF4EBP2,93,black,black,0,0.18458194173400602,0.1421265006488701,-0.06757309814889381,0.10393533592642061
ELF2,98,black,black,0,0.17515082038912785,0.047925555009254654,-0.08666391181620824,0.014483691461810659
PCBP2,99,black,black,0,0.17485193518187073,-0.06201406722298565,-0.213412183024822,-0.3307879870269043
NBPF12,93,black,black,0,0.17058439869232886,0.2116207502304286,-0.01661054379016024,0.07845453311084155
HNRNPK,99,black,black,0,0.16875212942369702,0.16639580812186625,-0.11686339236613602,0.06845198464283749
HNRNPDL,99,black,black,0,0.15992932075029867,0.24202549157020098,0.039943584517349084,0.02958963316286486
EPS8,86,black,black,0,0.15772263753013763,-0.04565254535537097,-0.03999628211876711,0.012838200813055216
LDHA,99,black,black,0,0.15738893342277427,-0.14093901447330323,-0.19110548451073933,0.0587465753441658
LCOR,98,black,black,0,0.154594292733877,0.2692401902476296,0.08875498787865707,0.10726035121152325
MAPK14,99,black,black,0,0.1438034509636141,-0.12217316236825058,-0.026159180194731436,-0.29574198851046707
CADPS2,59,black,black,0,0.13820140529517808,-0.09541129500653109,0.07052714270139096,0.3466665937392612
ASPSCR1,76,black,black,0,0.13524738070356263,-0.11122045409441807,-0.14827155077215382,0.1505993074380785
SLC25A3,99,black,black,0,0.13340924863266523,-0.1928471599770807,-0.36237936004072385,-0.03797542258971686
FGD4,90,black,black,0,0.13010858857701638,-0.1914971492268755,0.07150023703152858,0.3087486532151491
FAM120A,98,black,black,0,0.12983935349511927,0.3228689286160443,0.06498357268309485,0.0753216994308105
PID1,72,black,black,0,0.12888831724989946,0.07564021561268533,-0.04824761744398482,0.3080533748916335
NFKB1,99,black,black,0,0.1256896522789699,-0.1569847992062897,0.08579731974844032,0.14386048080350997
IL6R,64,black,black,0,0.11737526932470996,-0.04703331415800976,-0.06251471136110544,0.2719536594382524
SOX5,72,black,black,0,0.10990419342293212,0.024511418517640257,0.12466766665923497,0.349457431773405
CDK14,74,black,black,0,0.09207997488932937,0.05940029245306813,0.03911394463814984,0.2757051413660165
SNHG14,98,black,black,0,0.08045125905809652,0.3753860789832086,0.16705301333511816,0.09982820939484899
DAPK1,88,black,black,0,0.06576133758703531,-0.1127118333422009,-0.042851977659103355,0.2771333001144839
PRKN,97,black,black,0,0.05702129061602139,-0.06572631402749589,0.1981025610594672,0.3560925113808796
NF1,99,black,black,0,0.05337663491110924,0.20190925097641124,0.22731296258871977,0.19503824782946483
MT-ATP8,99,black,black,0,0.05301426502519555,-0.6860843321946232,0.0725645269450359,0.463469087826007
TMCC1,98,black,black,0,0.049983667487198104,0.016223051974906165,0.15403249862599525,0.1979331887400411
NSUN6,96,black,black,0,0.04512443659204673,0.06445230591509873,0.17539406140077582,0.22413185722754195
RABGAP1L,99,black,black,0,0.03785979120660724,-0.24062935337706912,0.1365326434902362,-0.2751386624927435
