,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMElightgrey
RBM39,99,darkgrey,darkgrey,1,-0.002925848629675614,-0.2902110968635592,-0.1396299850954721,-0.44398256415546294
RAB7A,99,darkgrey,darkgrey,1,-0.03152043041831514,-0.300989284415789,0.046951565776925164,-0.1228681184420683
NEAT1,99,darkgrey,darkgrey,1,0.17212108677347643,-0.3017304200935872,-0.31118862671722863,-0.3621398955164338
CCNH,99,darkgrey,darkgrey,1,0.17917178325487182,-0.31430232041741896,0.09944615212099403,0.034831765174659114
ATP2B4,99,darkgrey,darkgrey,1,0.09501252891995009,-0.3203657627085956,-0.15030252815390263,-0.12886086603522723
AFF4,99,darkgrey,darkgrey,1,-0.06771472643605705,-0.32967110441451797,-0.03673063098520994,-0.10779291846991629
ELL2,99,darkgrey,darkgrey,1,0.10121766735571881,-0.33455368546775255,-0.20428923771251772,0.0673397477685772
KIF1B,99,darkgrey,darkgrey,1,0.14464878879351528,-0.33906232765640765,-0.04708543353631137,-0.08808933704639318
ZFHX3,90,darkgrey,darkgrey,1,0.0001611002918159428,-0.3398483951322041,0.054034099781687196,0.46777870890418266
EIF3A,99,darkgrey,darkgrey,1,0.012207803139622806,-0.3480196520885344,-0.2581509426843751,-0.3362254647425115
CUX1,99,darkgrey,darkgrey,1,-0.13335962807228077,-0.3626641288332334,0.16122231091977107,0.20794244389130134
ACTR2,99,darkgrey,darkgrey,1,0.1163659548905628,-0.36270060857107095,-0.05087520332951005,-0.11393383472259085
TRA2A,99,darkgrey,darkgrey,1,-0.08430395357892286,-0.3668041155271432,-0.009067311555402113,-0.13778356628695346
CELF1,99,darkgrey,darkgrey,1,-0.06355150803066513,-0.36799842930780635,0.1337868566737529,0.09816032596344851
NFATC3,99,darkgrey,darkgrey,1,0.14071049700063115,-0.37957779991365526,-0.20313323579835174,-0.38716535631310794
EIF4G3,99,darkgrey,darkgrey,1,-0.009236039116914329,-0.3810254349841189,-0.03180322755435349,-0.30614494779619955
ELF1,99,darkgrey,darkgrey,1,0.27083931928993593,-0.38803864494982776,-0.2236727918360627,-0.3309929017336732
INTS6,99,darkgrey,darkgrey,1,0.21576419191109725,-0.38977930813870454,-0.06554262994495878,0.011976983975282046
KIF13B,99,darkgrey,darkgrey,1,0.037036616328151944,-0.4033312891049063,-0.07572775211038038,-0.23725895478484402
GNB1,99,darkgrey,darkgrey,1,-0.11880172734293153,-0.40685468798809943,0.3053167463587429,0.40585097945782234
MT-ND4L,99,darkgrey,darkgrey,1,-0.0995712885279979,-0.40928917559170097,0.2921117242559192,0.6783992870574638
ZSWIM6,99,darkgrey,darkgrey,1,0.128305218936022,-0.41177844308898387,0.0005934532458095746,0.059942469307450896
RAPGEF1,99,darkgrey,darkgrey,1,-0.040203156884844264,-0.4163963664689002,0.20357353302638806,-0.11970327574966173
MRTFA,99,darkgrey,darkgrey,1,-0.005866729075401917,-0.4233307856778887,0.14011825971195424,-0.01998269577920691
INSR,97,darkgrey,darkgrey,1,-0.05595145371155732,-0.4276144318854927,0.07531954143455488,0.21989586322561464
AGAP1,99,darkgrey,darkgrey,1,0.057888718651559035,-0.45452223579345724,-0.1476248679341502,-0.4012497561923736
GLG1,99,darkgrey,darkgrey,1,0.016947609877217898,-0.4552829778072761,0.009009636582461076,-0.15713416795561483
AHNAK,99,darkgrey,darkgrey,1,0.033436944245252544,-0.4569755013700342,0.10480422479123055,0.1875309195148307
PPP6R2,99,darkgrey,darkgrey,1,-0.09042556796202002,-0.46166721437839725,0.18405535678001875,-0.00904146247397577
WSB1,99,darkgrey,darkgrey,1,0.2723367655672462,-0.4683625673953702,-0.20710614224476326,-0.05527261120157171
LRRFIP1,99,darkgrey,darkgrey,1,0.29541654571273734,-0.4780843514182556,-0.31843949412163625,-0.40131228506560845
AKAP13,99,darkgrey,darkgrey,1,-0.14236952103828268,-0.48854866581264644,0.2612439982523558,0.14762934203655254
B4GALT1,99,darkgrey,darkgrey,1,0.3820386943952012,-0.5079898986214754,-0.2790230646883001,-0.31937577685213386
DNAJB6,99,darkgrey,darkgrey,1,0.32006119171183356,-0.5170840786078331,-0.33527054995405364,-0.583942058354437
SPTAN1,99,darkgrey,darkgrey,1,0.13635402160932242,-0.5354766977243012,-0.08545456554441024,0.13222354152535384
PTPRJ,99,darkgrey,darkgrey,1,-0.05160562356479989,-0.5402771759363546,0.03519591542057193,-0.20125502992205382
