Module,Size,Top_Hub,Top_kME
dimgrey,232,SIK2,0.9881608035554081
darkgrey,333,RPS11,0.9947564706166147
snow,118,A2M,0.9974639653632871
black,571,C3,0.998524012721757
rosybrown,55,CAMK2D,0.9389871400010437
gainsboro,31,DENND4C,0.9940211162697175
