Module,Size,Top_Hub,Top_kME
dimgrey,850,MAGI1,0.9511734031444393
gainsboro,244,RPLP1,0.9708458182965269
black,150,ADH4,0.9654025469151245
darkgrey,97,SELENOP,0.9622016558183963
