,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
ATP1B1,88,gainsboro,gainsboro,3,0.23620537267209574,-0.519527585056071,0.11346845765763153,0.6123871446535081
PID1,93,gainsboro,gainsboro,3,-0.5710841770654743,0.0874757251638413,0.849241537612363,0.6065996112215445
DCXR,80,gainsboro,gainsboro,3,0.5757398982331348,-0.7251567818868082,-0.20829737917470253,0.605094895256731
MT2A,87,gainsboro,gainsboro,3,0.4877801730591572,-0.691100804623658,0.06653888658607389,0.6031040075779724
PRDX6,86,gainsboro,gainsboro,3,0.4931332475909038,-0.6741542772875089,-0.07276355904607802,0.6028098695026815
CANX,93,gainsboro,gainsboro,3,-0.24036300399866056,-0.331715213553365,0.5051373003822337,0.6001987530262919
HSD11B1,70,gainsboro,gainsboro,3,0.5424596518922649,-0.6922714471502809,-0.1453341898647849,0.5995022254303134
AKR1C2,66,gainsboro,gainsboro,3,0.288465579325717,-0.5476272271256314,0.014638671251516773,0.591053463796719
ALDH1L1,69,gainsboro,gainsboro,3,0.5051335428408643,-0.6242235333648575,-0.1583965224370414,0.587112269412278
ITIH4,82,gainsboro,gainsboro,3,-0.2228657389122638,-0.14025659401471724,0.5226329117328452,0.5815977846557125
CHPT1,93,gainsboro,gainsboro,3,0.016289581904914495,-0.3154322833486078,0.35850186862214983,0.5769259828640422
SOD2,93,gainsboro,gainsboro,3,0.3624362882011393,-0.5209460809646773,-0.05238429860318458,0.5764444950168368
LINC01473,90,gainsboro,gainsboro,3,-0.29741278075540106,-0.06634057044391745,0.634075532555796,0.5756334244625991
APLP2,93,gainsboro,gainsboro,3,-0.3334591191664581,-0.13562053533007223,0.643048102811473,0.5752328433397127
INSIG1,88,gainsboro,gainsboro,3,0.47653481993838703,-0.6908449559967907,-0.08246149987538277,0.5728900940119429
UBE2E2,93,gainsboro,gainsboro,3,-0.5879889833775054,0.13412308994672928,0.8681364569736003,0.5671278605657227
FAT1,50,gainsboro,gainsboro,3,-0.23573403916967367,-0.2865605012383662,0.5466863564062503,0.5665859901699967
RBM33,93,gainsboro,gainsboro,3,-0.48975289344515816,0.07846179631766989,0.8004430285992937,0.5650151039068936
CPQ,93,gainsboro,gainsboro,3,-0.4699256752464998,0.09032706988834757,0.7363805720183486,0.5633247900375634
SEC61B,85,gainsboro,gainsboro,3,0.4747633208624097,-0.6433106158270205,-0.1250479396470017,0.5618976688177394
