Module,Size,Top_Hub,Top_kME
gainsboro,350,FGG,0.959929902439231
dimgrey,739,ELMO1,0.8967740735623024
black,185,RPL13,0.9567655888580905
darkgrey,67,UTRN,0.8505314055760659
