A1BG	0.00011340025769972192
A1CF	4.634369221298105e-05
A2M	0.0017192692337718658
A2ML1	4.004976945699557e-05
A3GALT2	7.1627398848446175e-06
A4GALT	3.2843588988584125e-05
A4GNT	4.858899056655551e-06
AAAS	2.982044849213071e-05
AACS	2.8747367939176486e-05
AADAC	5.032713736748312e-06
AADAT	3.0319384403213354e-05
AAGAB	8.045180354400636e-06
AAK1	3.719238055488396e-05
AAMP	9.651267516281404e-06
AANAT	2.427419053062796e-05
AAR2	1.1579646844948752e-05
AARS1	3.9755947623441225e-05
AARS2	2.8112677198613566e-05
AARSD1	1.6962213381582171e-06
AASDH	0.00010795885919488174
AASDHPPT	1.8543633831524028e-05
AASS	1.3711102242045156e-05
AATF	6.754547122663544e-05
AATK	2.7112280242777434e-06
ABAT	5.9757456290753774e-05
ABCA1	0.0010187026001349806
ABCA12	1.9389494756639978e-05
ABCA2	8.529214850667357e-05
ABCA3	1.717466109874729e-05
ABCA4	3.8209918890746675e-05
ABCA5	3.5360169603010777e-06
ABCA6	4.703227462336403e-06
ABCA7	0.000605691512545836
ABCA8	2.9614875596074436e-06
ABCA9	1.4109692145819612e-06
ABCB1	4.964202215067573e-05
ABCB10	1.7739550293113392e-05
ABCB11	7.197728201736479e-05
ABCB4	5.180690696123463e-05
ABCB5	4.569009821602087e-06
ABCB6	8.137580090178857e-05
ABCB7	3.508649517539739e-05
ABCB8	8.942307739507841e-05
ABCB9	1.2075936833321823e-05
ABCC1	1.3008851413092149e-05
ABCC2	8.980689585517906e-05
ABCC3	4.195702536985436e-05
ABCC4	7.210671852446302e-05
ABCC5	5.151104695507581e-07
ABCC6	6.030683534703292e-05
ABCC8	6.594497546809268e-05
ABCC9	1.712301495773954e-05
ABCD1	0.00010865084848671543
ABCD2	2.85899053041154e-05
ABCD3	0.00012134813307930305
ABCD4	9.480901027206082e-05
ABCE1	8.352523702659079e-05
ABCF1	2.3845800073950714e-05
ABCF2	1.3012422117566143e-05
ABCF2-2	1.2517383359363016e-05
ABCF3	9.996137408884078e-06
ABCG1	0.000715008211856936
ABCG2	0.00027624617395250676
ABCG4	0.0004696975623794326
ABCG5	0.0007507237294919113
ABCG8	0.00021996985678678383
ABHD1	2.4495091199531727e-06
ABHD12	1.683135219339249e-05
ABHD14A-ACY1	3.292266047910574e-06
ABHD15	1.065085261449607e-06
ABHD16A	1.426928814373395e-05
ABHD17A	3.909898154186198e-06
ABHD2	8.949186153426668e-07
ABHD4	1.4354762713088181e-05
ABHD5	5.0382475553881626e-05
ABHD6	1.8314375618084255e-05
ABHD8	7.112592288519381e-07
ABI1	6.729743031247538e-05
ABI2	4.9052078703508063e-05
ABI3	2.1479158156473736e-05
ABI3BP	1.2887517338350552e-06
ABITRAM	1.0323450654578307e-05
ABL1	0.0002417123337065637
ABL2	2.0399393752332066e-05
ABLIM1	6.574923537680525e-06
ABLIM2	9.727339763026123e-07
ABLIM3	6.574923537680525e-06
ABO	1.3386065716999032e-05
ABR	1.6368641491680118e-06
ABRA	3.2424392712271254e-06
ABRAXAS1	1.730723430955643e-05
ABRAXAS2	1.1494629294725664e-05
ABT1	1.3057101590702532e-05
ABTB1	3.5699246305384886e-06
ACAA1	0.0001504688031055036
ACAA2	0.00011048617869575906
ACACA	0.00016182885485414844
ACACB	0.00010402674115334167
ACAD10	4.417163178267067e-06
ACAD11	8.369650826799887e-06
ACAD8	2.0514979966838123e-05
ACAD9	5.1572868065325174e-05
ACADL	6.221535996496239e-05
ACADM	8.137874011906326e-05
ACADS	8.545784993467064e-05
ACADSB	4.587693477056259e-05
ACADVL	5.711036026313475e-05
ACAN	0.00021588405977020193
ACAP1	5.005546329062778e-06
ACAP2	5.005546329062778e-06
ACAT1	0.00010938257101778032
ACAT2	0.00013137716894569629
ACBD3	7.038282661474649e-05
ACBD4	2.7090540414945276e-06
ACBD5	6.579374177258498e-05
ACBD6	2.910749710514705e-06
ACCS	2.5639300487954515e-06
ACCSL	2.5639300487954515e-06
ACD	1.8037414418421705e-05
ACE	0.0005063030467268916
ACE2	0.0005068749299004418
ACER1	7.667375835804115e-05
ACER2	7.54900363731927e-05
ACER3	4.8493199247126656e-05
ACHE	0.00012253528696289556
ACIN1	1.8990732969512917e-05
ACKR1	5.415537636892091e-05
ACKR2	9.066456905093255e-05
ACKR3	5.8218899047409156e-05
ACKR4	4.774212410039317e-05
ACLY	0.0001536015456218948
ACMSD	1.652189146915287e-05
ACO1	0.00011714338270421685
ACO2	0.00017270608351948233
ACOD1	5.0883847691207255e-06
ACOT1	3.298775273081133e-05
ACOT11	4.675016040680642e-06
ACOT12	3.538882601478583e-05
ACOT13	1.7865330532865946e-05
ACOT2	3.6007456619447165e-05
ACOT4	2.455633560794668e-05
ACOT7	1.5850174302721608e-05
ACOT8	4.161444873149253e-05
ACOT9	4.657317123293001e-06
ACOX1	0.00025430219827289027
ACOX2	4.492867250784453e-05
ACOX3	0.00012090593832248516
ACOXL	7.76847233832062e-06
ACP1	0.00014887274131716836
ACP4	4.014607268044415e-06
ACP5	6.36170917684285e-05
ACP6	5.33892125668129e-06
ACP7	4.0716831728710276e-06
ACPP	0.00010374354866297001
ACR	9.181660708315062e-06
ACRBP	8.927418067569625e-06
ACRV1	1.1630537137790581e-05
ACSBG1	7.984689293015944e-05
ACSBG2	6.227275933562219e-05
ACSF2	2.3145216764576113e-05
ACSF3	2.8675842671806112e-05
ACSL1	0.0002769531886782049
ACSL3	0.00010467360702666668
ACSL4	0.00011831073347473755
ACSL5	0.00014080008659303174
ACSL6	8.634501606604526e-05
ACSM1	6.929511518849337e-06
ACSM2A	4.134722492234892e-06
ACSM2B	4.134722492234892e-06
ACSM3	4.595103748952514e-06
ACSM4	2.8943045946448825e-06
ACSM5	2.8943045946448825e-06
ACSM6	2.8943045946448825e-06
ACSS1	8.088124729865525e-05
ACSS2	8.282049596183693e-05
ACSS3	4.052285536537236e-05
ACTA1	0.00017170395677094138
ACTA2	9.59237889156635e-05
ACTB	0.001013075180044672
ACTBL2	1.9601933550489125e-05
ACTC1	8.681842420000674e-05
ACTG1	0.0003001825266593336
ACTG2	3.090403577376829e-05
ACTL10	2.188798209662363e-06
ACTL6A	0.00011385496973654021
ACTL6B	5.226638093528163e-05
ACTL7A	6.527464509989195e-06
ACTL7B	3.624147560861428e-06
ACTL8	2.188798209662363e-06
ACTL9	2.188798209662363e-06
ACTN1	0.00014749983000493814
ACTN2	0.00010793881786228812
ACTN3	4.3388707709663935e-05
ACTN4	0.00013925583829394256
ACTR10	4.109169584355094e-05
ACTR1A	3.35135757589903e-05
ACTR1B	1.7705924458999448e-05
ACTR2	0.00010385764681514712
ACTR3	7.551611440656255e-05
ACTR3B	3.7590334464888e-05
