A1BG	8.663269990602114e-06
A1CF	2.706843877856721e-05
A2M	5.8805016847602364e-05
A2ML1	4.789335839309029e-06
A3GALT2	2.026713394513564e-06
A4GALT	9.97991356021328e-06
A4GNT	1.0962004128324604e-06
AAAS	3.309754568649339e-05
AACS	2.7769460027256276e-05
AADAC	1.490440910126907e-06
AADAT	2.2699129077561554e-05
AAGAB	4.361939584049364e-06
AAK1	1.9300269018167834e-05
AAMP	3.198563112414948e-05
AANAT	1.4471096261274213e-05
AAR2	2.491285432027449e-05
AARS1	0.00011964501183830509
AARS2	8.316132584006424e-05
AARSD1	5.932997778859756e-06
AASDH	5.9628237064519706e-05
AASDHPPT	2.6964640369959348e-05
AASS	1.3202555322878748e-05
AATF	0.00047061392110066085
AATK	2.5301865995380312e-06
ABAT	3.695066613923012e-05
ABCA1	4.47823933981297e-05
ABCA12	9.826760114470505e-06
ABCA2	1.9540181698751408e-05
ABCA3	3.7729298870785322e-06
ABCA4	5.0161993132199e-05
ABCA5	2.419180347212579e-06
ABCA6	3.029253825624094e-06
ABCA7	2.0700987831980597e-05
ABCA8	6.851875486888716e-07
ABCA9	9.087749468037241e-07
ABCB1	2.8443432957323126e-05
ABCB10	1.8937993141546407e-05
ABCB11	1.7816139240130334e-05
ABCB4	9.275436476327185e-06
ABCB5	2.0373151864862606e-06
ABCB6	1.7978579455734744e-05
ABCB7	4.1315221904873796e-05
ABCB8	2.1284560838812828e-05
ABCB9	5.913535733525674e-06
ABCC1	6.6800055932496755e-06
ABCC2	2.4897106491729323e-05
ABCC3	1.1494884890793434e-05
ABCC4	2.0320372688014363e-05
ABCC5	3.5009948724784856e-06
ABCC6	1.330924636175813e-05
ABCC8	2.1632921658318847e-05
ABCC9	1.3280466136545771e-05
ABCD1	2.7131736027771854e-05
ABCD2	8.60822554021551e-06
ABCD3	3.534580605088783e-05
ABCD4	2.2214675270418796e-05
ABCE1	0.000726521122312956
ABCF1	0.0002522665261409603
ABCF2	0.00010360302140509791
ABCF2-2	9.972624150056201e-05
ABCF3	9.52245350295337e-05
ABCG1	2.3096425464120475e-05
ABCG2	2.884342149761509e-05
ABCG4	9.211428389625203e-07
ABCG5	3.861013886137119e-05
ABCG8	3.137348086504743e-05
ABHD1	1.1610205202392833e-06
ABHD12	1.3802381730661848e-05
ABHD14A-ACY1	2.325268716347318e-06
ABHD15	9.336967029348242e-07
ABHD16A	9.015998867378307e-06
ABHD17A	8.031770195699308e-07
ABHD2	1.0917945677007154e-06
ABHD4	1.202599512316406e-05
ABHD5	1.7726052793936048e-05
ABHD6	1.3606183218999024e-05
ABHD8	7.147134226931835e-07
ABI1	6.443811909395754e-05
ABI2	4.668847974663123e-05
ABI3	2.1057627255755517e-05
ABI3BP	1.263455770427315e-06
ABITRAM	8.407923117028241e-06
ABL1	0.00016170684558845287
ABL2	1.2707843680055973e-05
ABLIM1	6.079267001533891e-06
ABLIM2	8.993925216141809e-07
ABLIM3	6.079267001533891e-06
ABO	3.499294503859303e-06
ABR	6.169549684394742e-06
ABRA	2.997982824090599e-06
ABRAXAS1	2.681708463590771e-05
ABRAXAS2	1.2831761930638863e-05
ABT1	8.230706926918851e-05
ABTB1	1.3250706823872195e-05
ACAA1	0.00011044654744931843
ACAA2	0.00010581029938342366
ACACA	7.253667882128301e-05
ACACB	6.100240852024893e-05
ACAD10	4.053362633895454e-06
ACAD11	1.1978715511527185e-05
ACAD8	2.130461417663618e-05
ACAD9	0.000257291529174314
ACADL	3.934357910443532e-05
ACADM	5.544159462785138e-05
ACADS	6.518272576473531e-05
ACADSB	4.208963085472717e-05
ACADVL	4.329606857411639e-05
ACAN	5.508288368146124e-05
ACAP1	4.197300520091551e-06
ACAP2	4.197300520091551e-06
ACAT1	8.668944162139719e-05
ACAT2	0.00013840023931527902
ACBD3	1.945232379586012e-05
ACBD4	2.6450454361678973e-06
ACBD5	1.6324174177599378e-05
ACBD6	1.9005162363739317e-06
ACCS	1.9766778138615277e-06
ACCSL	1.9766778138615277e-06
ACD	3.493980289751742e-05
ACE	6.714837517882994e-05
ACE2	6.564012931488741e-05
