A1BG	7.381146502345429e-06
A1CF	2.086978978944452e-05
A2M	5.368189889986376e-05
A2ML1	5.7351793727701e-06
A3GALT2	2.1014432410829283e-06
A4GALT	9.56594713046356e-06
A4GNT	1.2037106124028315e-06
AAAS	4.113385202925983e-05
AACS	1.6739450825787007e-05
AADAC	1.2964890671267174e-06
AADAT	2.0789151313675355e-05
AAGAB	3.937067400597338e-06
AAK1	1.67141597821871e-05
AAMP	4.258097182640898e-05
AANAT	1.5071079138545057e-05
AAR2	2.7196203485741442e-05
AARS1	0.00013851150246827395
AARS2	0.00010304226792769153
AARSD1	7.073652242183954e-06
AASDH	4.745333579973474e-05
AASDHPPT	1.977588318561448e-05
AASS	0.0001005951160773591
AATF	0.0006358436219222525
AATK	1.99778929758278e-06
ABAT	3.359714460713035e-05
ABCA1	3.1709771414329574e-05
ABCA12	6.132509883425407e-06
ABCA2	1.5454237101789887e-05
ABCA3	2.9813655250667095e-06
ABCA4	2.3859118118002256e-05
ABCA5	1.128907372636672e-06
ABCA6	2.7397015192462082e-06
ABCA7	1.667974946355834e-05
ABCA8	5.747425957136529e-07
ABCA9	8.219092956468433e-07
ABCB1	2.6878492899763996e-05
ABCB10	1.2795390618456064e-05
ABCB11	1.2979371825660131e-05
ABCB4	7.115406038029496e-06
ABCB5	1.6191202512939848e-06
ABCB6	1.4811540729423068e-05
ABCB7	2.7548873789668057e-05
ABCB8	1.792537380994108e-05
ABCB9	5.040600369082644e-06
ABCC1	7.045877574848986e-06
ABCC2	1.9434374705752372e-05
ABCC3	1.0360295456860377e-05
ABCC4	1.8270010993823507e-05
ABCC5	4.419526032155822e-06
ABCC6	1.501564252788958e-05
ABCC8	1.854580652832179e-05
ABCC9	1.1044100560718042e-05
ABCD1	1.8207536906644226e-05
ABCD2	5.6548149603147995e-06
ABCD3	2.407439278052542e-05
ABCD4	1.858333992793349e-05
ABCE1	0.000931027180120442
ABCF1	0.0002790074471378312
ABCF2	0.00012924470711146252
ABCF2-2	0.00012429356609648095
ABCF3	0.00011897074853470036
ABCG1	1.7191816686958757e-05
ABCG2	2.58061872808784e-05
ABCG4	8.352940296516516e-07
ABCG5	2.7250840002295926e-05
ABCG8	2.2097946249814824e-05
ABHD1	8.029687650643705e-07
ABHD12	7.452743901083193e-06
ABHD14A-ACY1	3.366022756363889e-06
ABHD15	7.940320998149522e-07
ABHD16A	6.014021653400222e-06
ABHD17A	5.749477872121966e-07
ABHD2	1.0537696740537123e-06
ABHD4	6.4072584892829345e-06
ABHD5	1.0618731585955247e-05
ABHD6	7.254418459189482e-06
ABHD8	5.85630663748529e-07
ABI1	5.7961146501808754e-05
ABI2	4.058030450837791e-05
ABI3	1.8415986873031e-05
ABI3BP	1.1049573876025578e-06
ABITRAM	8.05900674026494e-06
ABL1	0.00013384866365955296
ABL2	1.0349754649175105e-05
ABLIM1	4.609545323393139e-06
ABLIM2	6.819542923555017e-07
ABLIM3	4.609545323393139e-06
ABO	3.2866386941815403e-06
ABR	1.3947041552026369e-06
ABRA	2.2731886617947744e-06
ABRAXAS1	2.75841422119965e-05
ABRAXAS2	1.43197169799461e-05
ABT1	0.00010654046650093629
ABTB1	4.1957280872939014e-05
ACAA1	7.440130715796177e-05
ACAA2	6.84482214501211e-05
ACACA	5.7609207541149566e-05
ACACB	5.01445833845695e-05
ACAD10	2.9954298115775685e-06
ACAD11	1.1518609906978451e-05
ACAD8	1.6361089736524734e-05
ACAD9	0.00010951989418204313
ACADL	2.8481955275386945e-05
ACADM	4.397527400639696e-05
ACADS	4.8661592321645407e-05
ACADSB	3.123257879567267e-05
ACADVL	3.260018563997295e-05
ACAN	5.618465975555845e-05
ACAP1	3.084810264340444e-06
ACAP2	3.084810264340444e-06
ACAT1	5.585373264225784e-05
ACAT2	5.6145346659448026e-05
ACBD3	1.6436224223666862e-05
ACBD4	1.88848095678758e-06
ACBD5	1.1524323042034945e-05
ACBD6	1.5773729151606684e-06
ACCS	1.6965014011086518e-06
ACCSL	1.6965014011086518e-06
ACD	3.750699713789558e-05
ACE	4.761035340444269e-05
ACE2	5.1867472289877214e-05
ACER1	1.666614062864643e-05
ACER2	1.6652201023414104e-05
ACER3	1.7206409492977617e-05
ACHE	2.298223360268418e-05
ACIN1	3.04740705564633e-05
ACKR1	1.395351096786901e-05
ACKR2	2.060141018448166e-05
ACKR3	2.4544991373333094e-05
ACKR4	1.0662134564088746e-05
ACLY	0.00010702759222436794
ACMSD	9.14723929174233e-06
ACO1	7.487483909771662e-05
ACO2	0.0003623318628913538
ACOD1	1.4671361557538257e-06
ACOT1	2.11315923559327e-05
ACOT11	1.8611452685587884e-06
ACOT12	2.0331935662722918e-05
ACOT13	1.2322703614665463e-05
ACOT2	2.183453586734395e-05
ACOT4	1.998626697860284e-05
ACOT7	1.8104703311526126e-05
ACOT8	1.3671461220652218e-05
ACOT9	2.1303577868943143e-06
ACOX1	7.959957563845228e-05
ACOX2	1.8254059662445542e-05
ACOX3	5.058228991624033e-05
ACOXL	5.149310035835185e-06
ACP1	2.2629816444863566e-05
ACP4	8.410923945287792e-07
ACP5	2.4472158913597165e-05
ACP6	3.889548074680193e-06
ACP7	1.699308706328504e-06
ACPP	6.942987666695875e-06
ACR	3.3474932281438683e-06
ACRBP	4.213221798513267e-06
ACRV1	3.6492419650486474e-06
ACSBG1	1.3952616127647087e-05
ACSBG2	1.0486457524558786e-05
ACSF2	7.089886769908494e-05
ACSF3	1.635254237592373e-05
ACSL1	3.692435535791973e-05
ACSL3	1.9620585330992255e-05
ACSL4	2.4657842747866858e-05
ACSL5	1.734278046559885e-05
ACSL6	1.6598294434371198e-05
ACSM1	4.471661060559221e-06
ACSM2A	2.459720903333578e-06
ACSM2B	2.459720903333578e-06
ACSM3	2.621153905213969e-06
ACSM4	1.721805180910138e-06
ACSM5	1.721805180910138e-06
ACSM6	1.721805180910138e-06
ACSS1	5.0189668598220154e-05
ACSS2	5.0901951051229346e-05
ACSS3	2.3120896671194074e-05
ACTA1	0.0002002657069415236
ACTA2	0.00011157592745290686
ACTB	0.0008342590635577046
ACTBL2	1.2616868947396787e-05
ACTC1	7.279172478997285e-05
ACTG1	0.0003620071725606727
ACTG2	8.593213367850467e-05
ACTL10	2.0711451091069193e-06
ACTL6A	0.00013891794422025346
ACTL6B	5.499728693304793e-05
ACTL7A	7.67353545339833e-06
ACTL7B	2.818719577658462e-06
ACTL8	2.0711451091069193e-06
ACTL9	2.0711451091069193e-06
ACTN1	0.00011388473331051466
ACTN2	0.00010022847955945331
ACTN3	5.5771012300734384e-05
ACTN4	6.558093764006596e-05
ACTR10	3.941442458161574e-05
ACTR1A	3.0488650785588427e-05
ACTR1B	1.5706383073404976e-05
ACTR2	0.00012900682598578832
ACTR3	0.00010990504721490332
ACTR3B	3.746734084676675e-05
ACTR3C	3.399937395186767e-05
ACTR5	5.715888775578654e-05
ACTR6	1.5642018171789757e-05
ACTR8	2.7236381041277562e-05
ACTRT3	5.023871940984308e-06
ACVR1	3.733858778732394e-05
ACVR1B	2.452691729548534e-05
ACVR1C	1.546066603802914e-05
ACVR2A	3.640043185921161e-05
ACVR2B	3.980308491005362e-05
ACVRL1	1.935825399740347e-05
ACY1	1.7119339267649574e-05
ACY3	2.293200722329051e-06
ACYP1	7.779684721875687e-06
ACYP2	8.540874664777299e-06
ADA	3.147068245262642e-05
ADA2	1.3655391473463721e-05
ADAD1	4.177034491412865e-07
ADAL	1.7168204823521586e-06
ADAM10	5.453970971794136e-05
ADAM11	1.3940887596365303e-06
ADAM12	5.5926218632806566e-06
ADAM15	1.0975523807948423e-05
ADAM17	3.0181107120649764e-05
ADAM19	1.9863277711084215e-06
ADAM2	4.545444352180826e-06
ADAM20	1.751419679728067e-06
ADAM21	1.751419679728067e-06
ADAM22	1.1564642942255023e-05
ADAM23	6.309622316408294e-06
ADAM28	1.5133477902943278e-06
ADAM30	2.4185896417715674e-06
ADAM33	2.4031302763874338e-06
ADAM8	5.974486940986529e-06
ADAM9	5.13297245179933e-06
ADAMTS1	3.2429546058225695e-06
ADAMTS10	3.2411086369137886e-06
ADAMTS12	4.8690601816787385e-06
ADAMTS13	1.703765788965701e-05
