,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
DIAPH1,37,darkgrey,darkgrey,1,-0.3960123648032509,0.39746554281519214,0.3912318521136736,-0.33108283038982617
PPP2R5A,37,darkgrey,darkgrey,1,-0.34662610247839176,0.3836142188303286,0.16463419067759796,-0.048604862824366095
ACTR2,37,darkgrey,darkgrey,1,-0.40585803779457,0.38102430309311985,-0.04998233406864272,0.18131661291996506
TSHZ2,37,darkgrey,darkgrey,1,-0.29696449994051577,0.36745019605616225,0.3466387831937323,-0.27425882555429687
ADAM10,37,darkgrey,darkgrey,1,-0.32126985845933687,0.3613284706017755,0.5658256506555484,-0.5002051994471867
ESYT2,37,darkgrey,darkgrey,1,-0.07495604824694752,0.36063370799215166,0.4238400064151622,-0.34010612268076534
XPO1,37,darkgrey,darkgrey,1,-0.3594738603928497,0.3584186878052352,-0.16657638577515277,0.29536032897390097
UGP2,37,darkgrey,darkgrey,1,-0.1293073742165677,0.35590684379677007,-0.042276763467167265,0.23905261923980017
PIAS1,37,darkgrey,darkgrey,1,-0.08642680827357409,0.33887730009687533,0.2572876621615555,-0.14478925481581
ANKH,37,darkgrey,darkgrey,1,0.006375898890850846,0.33383054469178075,0.38604819538772217,-0.28133785772847464
COPA,37,darkgrey,darkgrey,1,-0.22557057881913908,0.32933883603808556,0.5046424351879656,-0.4757154016762952
DIAPH2,37,darkgrey,darkgrey,1,-0.275148089195877,0.31842690554116637,0.09439576032037997,0.047147701647510566
NSD1,37,darkgrey,darkgrey,1,-0.4929669107571124,0.31730727809838444,0.4719398423913619,-0.47753137569857135
SORL1,37,darkgrey,darkgrey,1,-0.24685611819575218,0.3109653927245564,-0.10126726158765624,0.17023126355968488
FGGY,37,darkgrey,darkgrey,1,-0.10944012532799026,0.3054938206106704,0.5665204639787991,-0.5118205491742382
KIAA0319L,37,darkgrey,darkgrey,1,-0.26894842349826426,0.3024294905321521,0.44859547995424537,-0.4439859122186562
SEPTIN9,37,darkgrey,darkgrey,1,-0.24150342714618953,0.2946611953378027,-0.1535555182633848,0.3099445477525064
PTPRM,37,darkgrey,darkgrey,1,0.005671389364392523,0.29438519067216823,0.3572190209572436,-0.19038490019130053
NBEAL1,37,darkgrey,darkgrey,1,-0.47183216471615474,0.2939890887141381,0.53773769567946,-0.5595624070620521
TNFAIP3,37,darkgrey,darkgrey,1,-0.21813683307476903,0.28358854178307646,-0.0693305162261507,0.09760463564566563
