,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
ELMO1,37,dimgrey,dimgrey,2,-0.6221198890650302,0.594962898776432,0.8843210721616315,-0.8265416861829875
PDE8A,37,dimgrey,dimgrey,2,-0.6049190904232169,0.6791231070033302,0.8823893973798275,-0.7797035762723362
PHIP,37,dimgrey,dimgrey,2,-0.591233106037461,0.7229341654710781,0.8810464838511701,-0.7736805631651864
EVI5,37,dimgrey,dimgrey,2,-0.6757778159675939,0.5914613143102844,0.8810212076840652,-0.8659033876292641
VTI1A,37,dimgrey,dimgrey,2,-0.5190383648617095,0.4783617967066228,0.8808263326544344,-0.8964194881645096
DYRK1A,37,dimgrey,dimgrey,2,-0.5221925303933609,0.5650759967233011,0.8806011040801971,-0.8106060508233822
KAT6A,37,dimgrey,dimgrey,2,-0.3480694818490463,0.5271047626836949,0.8803540249637319,-0.8168392814900152
SPATS2L,37,dimgrey,dimgrey,2,-0.3664917606434172,0.444438372761758,0.8800665076171821,-0.8595472544218177
MED13L,37,dimgrey,dimgrey,2,-0.735690046928441,0.693815855603311,0.8782123134992198,-0.8390554613706624
SMYD3,37,dimgrey,dimgrey,2,-0.6997660953161094,0.6319464866472639,0.8774397544503323,-0.8374528477002822
GNAQ,37,dimgrey,dimgrey,2,-0.44055867444908686,0.46418999632745933,0.877276223680949,-0.8490350816450296
ANKRD17,37,dimgrey,dimgrey,2,-0.6398234074608203,0.6526398067793677,0.8765516366413504,-0.825130689729044
TRAPPC9,37,dimgrey,dimgrey,2,-0.6182338641453684,0.6611789099489653,0.8764931028058658,-0.7847455472127775
LARP4B,37,dimgrey,dimgrey,2,-0.4749219122436129,0.6296172012044633,0.874685059377448,-0.7688737133095512
SBF2,37,dimgrey,dimgrey,2,-0.4135562671332182,0.5294692515589957,0.8735722175377981,-0.8182598880218547
RNGTT,37,dimgrey,dimgrey,2,-0.6283286814794482,0.6346498998600577,0.8734668937612412,-0.8006814799679322
BRAF,37,dimgrey,dimgrey,2,-0.539215920754006,0.6328649410414311,0.8731234229305307,-0.7850475427894384
MLLT10,37,dimgrey,dimgrey,2,-0.7123594504117154,0.6992125188189282,0.8730601469687339,-0.7819618895228837
ZNF148,37,dimgrey,dimgrey,2,-0.6538263075649677,0.6436093928556168,0.8726251761666427,-0.788823820794611
ZNF644,37,dimgrey,dimgrey,2,-0.6443065886215072,0.5664339487912438,0.8724019695502659,-0.8532961002171734
PTK2,37,dimgrey,dimgrey,2,-0.669652416883615,0.5387937068197592,0.8716060567527671,-0.8566951385432572
HIVEP2,37,dimgrey,dimgrey,2,-0.4901488919440911,0.47514928782296517,0.8703959503711467,-0.8952184337490239
TBC1D5,37,dimgrey,dimgrey,2,-0.4186265910240181,0.3546957972518272,0.8700982424248767,-0.9004153119584277
BIRC6,37,dimgrey,dimgrey,2,-0.743197024352816,0.7711511014114436,0.8698721523055946,-0.7738551444563456
DLC1,37,dimgrey,dimgrey,2,-0.41144742228193715,0.3637865340141089,0.8696441692128493,-0.9064511943846427
LUC7L3,37,dimgrey,dimgrey,2,-0.5918056259122049,0.6908643084871298,0.8686871881054276,-0.7700879043027363
BABAM2,37,dimgrey,dimgrey,2,-0.4603138284910411,0.5085133690302891,0.8680198226194786,-0.8663095922790792
NCOA1,37,dimgrey,dimgrey,2,-0.4761799246737973,0.6011542381848513,0.8676732586803387,-0.7971846706520933
UBR5,37,dimgrey,dimgrey,2,-0.6673607474707083,0.7196235258996991,0.8675387698188414,-0.7662304234941496
PCNX1,37,dimgrey,dimgrey,2,-0.7449758667505741,0.7573542637226386,0.8674965610432253,-0.7803709934309505
RORA,37,dimgrey,dimgrey,2,-0.7677600708662718,0.7202853321524144,0.8674082011050865,-0.8232789031199865
PTPRG,37,dimgrey,dimgrey,2,-0.7945660875879379,0.7470775746697071,0.8669364057491892,-0.7854727792801534
TBC1D22A,37,dimgrey,dimgrey,2,-0.47408902550948634,0.6926012570796214,0.8666929832942858,-0.7437374860517599
CHD9,37,dimgrey,dimgrey,2,-0.4513179329482446,0.4406691571484383,0.866672933194435,-0.8522955500005819
ATXN10,37,dimgrey,dimgrey,2,-0.48473976109475403,0.5724134689298765,0.8666086117284914,-0.8028607588902548
LCOR,37,dimgrey,dimgrey,2,-0.520023670901951,0.5649162783942268,0.8666030171201303,-0.8312031266934623
SFPQ,37,dimgrey,dimgrey,2,-0.4523639035748457,0.599998990055806,0.8658811588971422,-0.787509717157468
KIF13A,37,dimgrey,dimgrey,2,-0.6811606961234864,0.6337431952584633,0.8643472244140539,-0.826030421558466
ERC1,37,dimgrey,dimgrey,2,-0.68096364614821,0.7230897033826484,0.8633116086538853,-0.7412569404462653
AKAP13,37,dimgrey,dimgrey,2,-0.8028806464054582,0.8391083624688964,0.863184070434067,-0.7470420067516104
WDR70,37,dimgrey,dimgrey,2,-0.5016535161203223,0.5079437913867829,0.8631011656465067,-0.8387417745568758
SMURF1,37,dimgrey,dimgrey,2,-0.3344503468778311,0.36609467372265314,0.8629408712906375,-0.8728705606721403
FTO,37,dimgrey,dimgrey,2,-0.38531697382160096,0.3823127804515746,0.8628170414868126,-0.861706132208749
FBXW7,37,dimgrey,dimgrey,2,-0.726913133751661,0.7853976140167784,0.8626703816404263,-0.7276222866909893
KMT2C,37,dimgrey,dimgrey,2,-0.6850746749788837,0.6248846347440439,0.8621310300576419,-0.819404222707806
CMIP,37,dimgrey,dimgrey,2,-0.6920521869872931,0.8635613490681859,0.8617549252919324,-0.6822049381033514
FTX,37,dimgrey,dimgrey,2,-0.6675144129557659,0.49324114314394474,0.8615206774952892,-0.8890437231814627
EXOC6B,37,dimgrey,dimgrey,2,-0.3335646446209286,0.2972189109430254,0.860399450906541,-0.9068681239743148
BACH1,37,dimgrey,dimgrey,2,-0.5815327496351265,0.4592637322984372,0.8592790685942087,-0.894486602815866
FCHSD2,37,dimgrey,dimgrey,2,-0.5747551702224187,0.6870341035408962,0.8590429123455232,-0.7713171876428494
BTAF1,37,dimgrey,dimgrey,2,-0.6138185535823867,0.7148023723648165,0.8585376477116373,-0.7380317559541133
ANKRD12,37,dimgrey,dimgrey,2,-0.73233920563041,0.8087951757883152,0.8584933007679418,-0.7420550383447102
BAZ2B,37,dimgrey,dimgrey,2,-0.5081848366833394,0.4268707721476963,0.8583189117163317,-0.8733211586214072
ST6GAL1,37,dimgrey,dimgrey,2,-0.36414039227287104,0.3287323814650615,0.8578314527576401,-0.9259324824654962
DAPK1,37,dimgrey,dimgrey,2,-0.40329723968722747,0.5570997155438075,0.8566943904138369,-0.7923658779146356
CSNK1A1,37,dimgrey,dimgrey,2,-0.372664186823206,0.5065670210772284,0.8566806377877977,-0.8211860365405338
CDK13,37,dimgrey,dimgrey,2,-0.47081322371797935,0.6105656167231427,0.8556485198466209,-0.767174964149186
FRYL,37,dimgrey,dimgrey,2,-0.777337610254363,0.7450937965124707,0.8544980586575877,-0.7880645437878074
CBLB,37,dimgrey,dimgrey,2,-0.8139043814580872,0.8438954430338684,0.8537312958493445,-0.6965730786012118
RSRC1,37,dimgrey,dimgrey,2,-0.5622691651614974,0.42870047951866513,0.8506069677809701,-0.9019379040140303
GPHN,37,dimgrey,dimgrey,2,-0.4912502560644312,0.4614891353811,0.8499103134112741,-0.8556703833503609
EIF4G3,37,dimgrey,dimgrey,2,-0.8007005878574923,0.7576498119592999,0.8497714849633584,-0.7799476017720278
SPAG9,37,dimgrey,dimgrey,2,-0.7679335117790524,0.7456681438803155,0.8492807939533881,-0.7838477401091736
DLG1,37,dimgrey,dimgrey,2,-0.5362959967741567,0.5265474107076009,0.8492292544490313,-0.8044049828780822
USP15,37,dimgrey,dimgrey,2,-0.7507011794937284,0.7696356649788787,0.8492069431869863,-0.7531179768396886
QKI,37,dimgrey,dimgrey,2,-0.2718890284515935,0.29763241792624523,0.8484963465030781,-0.8571640314747734
HERC1,37,dimgrey,dimgrey,2,-0.695966835024218,0.8028681161348878,0.8483640183385255,-0.7462678428493035
GOLGA4,37,dimgrey,dimgrey,2,-0.7397994349121357,0.7127974214510523,0.8462582608325254,-0.7747197675736482
SPIDR,37,dimgrey,dimgrey,2,-0.4980622595721414,0.6226209784940913,0.8453021563190654,-0.7452212907687673
MON2,37,dimgrey,dimgrey,2,-0.48144393614836867,0.5679236988146005,0.8451222493942031,-0.7863654095301688
TRIO,37,dimgrey,dimgrey,2,-0.42101809083670333,0.5310666258091687,0.8446129650081186,-0.766030910563873
UBAC2,37,dimgrey,dimgrey,2,-0.6452206883406216,0.6816385024351901,0.8444847115522193,-0.7644684882974537
STK3,37,dimgrey,dimgrey,2,-0.17235028111462683,0.24609959344703763,0.8443003799558879,-0.8656559165882919
SENP6,37,dimgrey,dimgrey,2,-0.7382130223758002,0.7255368361002609,0.8438471092795473,-0.744651069785025
PLCB1,37,dimgrey,dimgrey,2,-0.4575829229561831,0.34443775476745697,0.8435791980441774,-0.8477121369596081
NCOR1,37,dimgrey,dimgrey,2,-0.6556130849169737,0.773688663354393,0.8414698750589052,-0.7090286763274152
FAM172A,37,dimgrey,dimgrey,2,-0.4380200658815656,0.37851748505834043,0.8408922401000269,-0.8716877239349193
SCAPER,37,dimgrey,dimgrey,2,-0.34866948730072517,0.5466340159119601,0.8408201765198868,-0.7473646025089179
ZCCHC7,37,dimgrey,dimgrey,2,-0.7398488044944632,0.7623918932703636,0.8403885651063715,-0.7194533046143119
