Module,Size,Top_Hub,Top_kME
black,313,TAT,0.9778468042204778
darkgrey,282,RAP1B,0.9210646898215744
gainsboro,238,RPS23,0.9802424971222797
dimgrey,508,AUTS2,0.9551786244301885
