Module,Size,Top_Hub,Top_kME
darkgrey,256,HP,0.9880586925096455
indianred,223,FAM49B,0.8616081116301572
lightcoral,460,WDR70,0.9779858642703095
black,108,RPL12,0.9896891001716327
lightgrey,169,AC105402-3,0.9887986187623421
rosybrown,52,RAD50,0.9401035083931519
whitesmoke,61,RALGAPA2,0.9734843296389047
white,12,ACTR3,0.9391480707820961
