,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEindianred,kMElightcoral,kMElightgrey,kMErosybrown,kMEwhite,kMEwhitesmoke
USP3,18,lightcoral,lightcoral,3,-0.1963911432945552,0.5180013494314106,0.2649494936096835,0.6733008918057024,-0.6449041790859416,0.6671811269086428,0.48396166297502125,0.12300352480408207
SEC63,18,lightcoral,lightcoral,3,-0.4601026190066258,0.3369293561870346,0.5458588258220026,0.6714601229591939,-0.6544899767367817,0.2059733692513465,0.6181330539345254,0.4773232540930425
RSF1,18,lightcoral,lightcoral,3,-0.30500584687238436,0.3786859520779828,0.485337393245931,0.6714140922139511,-0.619434833843016,0.27111961071692803,0.5383583476956871,0.555646040039266
EIF4G3,18,lightcoral,lightcoral,3,-0.363454673782376,0.2853611894780109,0.6779918659036067,0.6703924042285684,-0.7139235305115422,0.5241012990410752,0.7478251179758165,0.21871756747216572
MBP,18,lightcoral,lightcoral,3,-0.4353772404222052,0.3228959222688393,0.5032787303607954,0.669133415611457,-0.6946135585474933,0.5625222142103768,0.6643634680060182,0.3798191651380859
BRAF,18,lightcoral,lightcoral,3,-0.28293494721912993,0.4600464126723186,0.27582843489514564,0.6672739307368408,-0.549182594873982,0.4794319325082774,0.38622959270372903,0.2314321708955393
MLLT10,18,lightcoral,lightcoral,3,-0.33902636547989484,0.4171092147347081,0.3475291770914352,0.6663063918271187,-0.5616262208274511,0.2322572844917891,0.4342643139215526,0.6295076913755897
HIBADH,17,lightcoral,lightcoral,3,-0.2939227875196741,0.4566779421730303,0.42089613059244024,0.6647237649052913,-0.5961040711676745,0.29337503484101,0.4995723676097489,0.12377617030244814
PDXDC1,18,lightcoral,lightcoral,3,-0.1894006768558174,0.6602018716008273,0.06489408980177802,0.66413092958026,-0.6929824803309689,0.5222828450973215,0.5757502932288769,0.8234865602000508
DLG1,18,lightcoral,lightcoral,3,-0.3733086912893491,0.3452548111655337,0.5374871580892359,0.6636991612585348,-0.6450242017373244,0.19259857881076106,0.614780645725953,0.7015329565338566
ETFA,18,lightcoral,lightcoral,3,-0.5150089748399371,0.31239443838579545,0.3704970698161928,0.6629286891198569,-0.6395384043192878,0.5292837747647279,0.5332980703180765,0.1824939581280581
ZNF407,18,lightcoral,lightcoral,3,-0.3964887827809876,0.2601269425732225,0.746088704616869,0.6604216461432962,-0.6891509238441613,0.20943908087585672,0.713659467683651,0.5092433488074832
C2,12,lightcoral,lightcoral,3,-0.4061776183123047,0.5024470290804018,0.11178475721770048,0.6578811688522409,-0.7181977075171179,0.688171522223389,0.6189831209391016,0.5438450606183217
CAB39,18,lightcoral,lightcoral,3,-0.45790239268759064,0.3890921756568841,0.34772874654098174,0.6566183962418702,-0.7446412577162863,0.6958632996420862,0.71552718808817,0.43975054534978897
