Module,Size,Top_Hub,Top_kME
gainsboro,514,AZGP1,0.9394547866942637
black,103,MT-CO3,0.9810165179303055
dimgrey,175,FYN,0.8627513753458282
darkgrey,507,PDE3B,0.8636833149518232
lightgrey,42,CADPS2,0.6258581905891896
