,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
CHST11,223,gainsboro,gainsboro,3,-0.054108685624336454,0.706772223217494,0.8579079435199208,-0.24010499424496987,-0.45188403300180713
FOXP1,223,gainsboro,gainsboro,3,-0.01665664475320896,0.5149072896387209,0.6605691233909148,-0.2896712183993491,-0.2626886410078302
STAG1,223,gainsboro,gainsboro,3,0.04304399616850383,0.6098498310398336,0.7887794680716482,-0.32062810965640015,-0.3022699192512481
PPP2R5C,223,gainsboro,gainsboro,3,0.03256104518256272,0.4860151747226685,0.7078875120322008,-0.4032399272020598,-0.3946435724051752
MBNL1,223,gainsboro,gainsboro,3,0.054285988633995294,0.5138689716716605,0.7312500790851699,-0.4074867664013261,-0.26126283866281186
ARHGAP26,223,gainsboro,gainsboro,3,0.18825302289432744,0.25757868843286474,0.5108718583370189,-0.4167708043630884,-0.20024206361564362
NCOA3,223,gainsboro,gainsboro,3,0.20236264676705684,0.5206192946159125,0.8120601495575385,-0.4394586477497698,-0.46570338527811345
CNOT6L,223,gainsboro,gainsboro,3,0.13136450787643775,0.4812435305773657,0.7646725788397778,-0.44817848689458734,-0.45423239384331904
PARP8,223,gainsboro,gainsboro,3,0.1334706349258351,0.5260154716768466,0.8186163547999133,-0.519362854269771,-0.3267147120773526
CELF2,223,gainsboro,gainsboro,3,0.247820432408969,0.4397777697970634,0.8080767178317521,-0.6017377897457736,-0.30578438206464315
PTPRJ,223,gainsboro,gainsboro,3,0.5424313032880256,0.15058874521506171,0.6253527562049142,-0.6291040185250737,-0.5174043192879949
SSH2,223,gainsboro,gainsboro,3,0.33701787496064795,0.24376985495455503,0.6645882548253895,-0.6639806899514695,-0.3002628375156808
RNF213,223,gainsboro,gainsboro,3,0.5020382701673868,0.1521770222386126,0.5845252440131833,-0.6697073424877484,-0.3696356890987336
FNBP1,223,gainsboro,gainsboro,3,0.46230910796137586,0.34365860258830494,0.8238481528944139,-0.6855205477585252,-0.5527661130842126
GPBP1,223,gainsboro,gainsboro,3,0.5426786778817141,0.12113641164463915,0.611430530850043,-0.6932497181990579,-0.5530601289458994
DNAJB6,223,gainsboro,gainsboro,3,0.658778820177396,-0.019384707726689966,0.5287226799565082,-0.7069255157634262,-0.529396211178951
BAZ1A,223,gainsboro,gainsboro,3,0.5549857576395323,0.16997696317987177,0.6682706545659708,-0.7195300450937938,-0.4369616973949975
SYNE2,223,gainsboro,gainsboro,3,0.48150986060114453,0.3186769048196296,0.7942434562454805,-0.7209144144898836,-0.4358430437891318
SIK3,223,gainsboro,gainsboro,3,0.5874948553805315,0.17077697693198615,0.7201426441033265,-0.7820858764992146,-0.4727918506713995
MALAT1,223,gainsboro,gainsboro,3,0.7513945730118196,-0.0008632845637333658,0.6383587235738666,-0.9537051773210702,-0.3374304755623854
