,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
SPEN,221,darkgrey,darkgrey,1,-0.18527039084827146,0.36083136680763483,0.2552145252322718,0.11758474274229021,-0.10497413416827582
ADD1,222,darkgrey,darkgrey,1,-0.18894535920756392,0.36079173221520794,0.27677727402119023,0.0698721507954742,0.011159323072986367
TUT7,220,darkgrey,darkgrey,1,-0.30917359684319584,0.35906517681499517,0.1822047266798024,0.24863723628419387,-0.17038582852771322
NEAT1,223,darkgrey,darkgrey,1,-0.1448890996693257,0.35810441781303304,0.3024576915640722,0.14211734238909554,-0.4374855790545948
OSBPL9,221,darkgrey,darkgrey,1,-0.24711949895508994,0.35366580632791583,0.18742074002311399,0.1827455269476308,0.09946402857146809
MAPK14,221,darkgrey,darkgrey,1,-0.2302683097316845,0.3534686886619238,0.24133875702435945,0.13223303994557312,-0.10245141571798722
PDXDC1,214,darkgrey,darkgrey,1,-0.3801448760120082,0.3510564847614736,0.09370479053749489,0.3300316320610743,-0.01363597312032953
ACACA,211,darkgrey,darkgrey,1,-0.30171144354668544,0.3497270841000643,0.15912681827647912,0.23795530874285448,0.046658061973797973
XPR1,221,darkgrey,darkgrey,1,-0.22087529270114473,0.34950743479779894,0.22522634155354535,0.14191477505959357,-0.07947311026754056
BTAF1,222,darkgrey,darkgrey,1,-0.19770164753759856,0.34907821154583724,0.26740613518719936,0.09758174715502418,-0.1292247414604749
SLC39A11,219,darkgrey,darkgrey,1,-0.2177647880112604,0.34869879558045114,0.23214184425284073,0.11220476343449204,-0.03660913126825429
RAB2A,220,darkgrey,darkgrey,1,-0.4098153956294273,0.3470524277857701,0.07592075853492286,0.3791841094750519,0.019025303961517838
STAU1,219,darkgrey,darkgrey,1,-0.19432118005231347,0.3468789087317521,0.20173652199392025,0.17577743756848616,-0.043502160917364675
TNKS2,215,darkgrey,darkgrey,1,-0.45361112228445566,0.3463153452774835,0.0472779624497606,0.3660583489445233,-0.0010348520232862039
SRSF11,222,darkgrey,darkgrey,1,-0.2851495887315052,0.3460752202537743,0.2180943284034516,0.14981198314639102,-0.19474078439816248
THOC2,221,darkgrey,darkgrey,1,-0.19931015775581007,0.34157450177236603,0.2464567064994927,0.0985808200742434,-0.2892672932512049
NSUN6,208,darkgrey,darkgrey,1,-0.3112414450096635,0.34021731456408894,0.13934081682430285,0.2206722697962386,-0.07988924491569115
