,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEbrown,kMEdarkgrey,kMEdimgrey,kMEfirebrick,kMEgainsboro,kMElightcoral,kMElightgrey,kMEsilver,kMEsnow,kMEwhitesmoke
YWHAZ,25,silver,silver,8,-0.2114547912742423,-0.1743854341970132,-0.14014005733281867,-0.025612485711327276,-0.09599921249152946,0.027679247895676183,-0.1576846260779326,-0.36188619000520067,0.5144099465756267,-0.1952287240434875,0.2966017710786465
NAMPT,23,silver,silver,8,-0.36591599264834107,-0.05828035076514309,-0.1051087453148109,0.22606006054174063,-0.15265788055569793,-0.013033959340856178,-0.06392282297407252,-0.2351358988242773,0.5143667251960578,0.3127846040821734,-0.05170818797508547
ATP5MC2,25,silver,silver,8,0.11414540549413266,-0.4381579429356807,-0.4376692988978937,-0.41086015873927484,-0.1074174692129679,-0.4138095615974379,-0.32192797102795356,-0.4377332988095971,0.5062912794328194,-0.49047206727943127,-0.14021474866940142
RMND5A,23,silver,silver,8,-0.4111301961404735,0.02578729416798909,-0.07805471855412764,0.2186979450918467,-0.23805515477313513,-0.002068712421263885,-0.01377070818904393,-0.3111789945690413,0.5017131608552952,0.3118953445254104,-0.042427656094125146
MGST1,20,silver,silver,8,-0.5880106479181395,0.15858699430465667,-0.09292223580396483,0.3871922218913164,-0.029935861218966544,0.03724765533405043,0.3380443190363823,-0.10444052998905098,0.47614231478539826,0.28624036150536114,-0.06923227449678081
UHMK1,23,silver,silver,8,-0.323458899204529,-0.13716354618666404,-0.037335321948998454,0.19651130086627347,0.023387453459577278,-0.01101144973167281,-0.11348014870358428,-0.29692261291356953,0.4715515994963146,-0.0034752284015238046,-0.144141955307945
ACBD6,23,silver,silver,8,-0.5065110581896787,0.16237261848027956,-0.06318403178883905,0.34808216748480064,-0.13412449903842924,0.26819231043912006,0.045157059326192114,-0.23926048010302717,0.4571041684958194,0.12173649660339314,0.5573266654182529
LUC7L2,23,silver,silver,8,-0.5158840641574701,0.21279760947016604,0.023667071088923075,0.3887976295461034,-0.24660165302328538,0.16130209831252829,0.10633124781522346,-0.19170307422449737,0.44988952528699855,0.42028446461848434,-0.015452680272529353
CAMK2D,25,silver,silver,8,-0.4141053202100214,-0.10833154001954479,-0.26820966690152104,0.19687730699443795,-0.21139510842007914,0.10660439173017268,0.05951372173808021,-0.13371361879628268,0.3817035658631822,0.09668168665446616,0.023240141603906465
NFKB1,25,silver,silver,8,0.10991290383582454,0.21716109033204936,-0.3913233745621469,-0.24427577037235687,-0.3310940787266208,-0.2297241469376982,-0.1139252313833881,-0.2963478844202701,0.3800251714130412,-0.29938308039005546,-0.09143379002084294
SPATS2L,22,silver,silver,8,-0.19319836292901976,-0.08321740162737486,-0.1254292793955548,0.026560292831108306,-0.08899494875671692,-0.11360763872854737,-0.09827755421956616,-0.2405000235621707,0.3714039017036653,-0.08352901333937963,-0.10858699476188334
SEC24B,25,silver,silver,8,-0.44641501430986513,-0.03464609251289768,0.0369520277642505,0.28081381724863635,-0.10341059268211196,0.29840330082888944,0.10083139962136689,0.0008926356967837434,0.3515299391768408,0.10256968640124406,0.23890332537232312
GRHPR,18,silver,silver,8,-0.6336745240137682,0.14677579686637152,0.2559107625903191,0.48538954460214384,0.06354705302033267,0.32153718866131165,0.31698690179297995,-0.07294532420091492,0.3186411395209328,0.3882807658418278,-0.10897233848925601
SERINC5,21,silver,silver,8,-0.3728749522544681,0.25594740932241816,0.032124119973609234,0.33168773019906483,-0.06748459551838813,-0.011509429693248217,0.28203674576403953,-0.06085248509080745,0.2874744616605498,0.022338343970282653,-0.05104824453220041
MTR,21,silver,silver,8,-0.4733191323762699,0.023556556854601687,0.173322316787641,0.46689553920328697,-0.019585858478573387,0.20245680854516362,0.07006882703906048,0.28593384759702917,0.2147249770577976,0.18839191337033506,-0.012638247985294039
SPG11,25,silver,silver,8,-0.3684539926813249,0.10230607475400877,0.3590245763674734,0.39133072082350606,-0.18145530278389665,0.05534858737872582,0.03800399212354909,0.2417217073943992,0.1423100750745244,0.04694835780332117,0.13093355607776416
