Module,Size,Top_Hub,Top_kME
dimgrey,534,FMO5,0.9741861032688206
black,155,MALAT1,0.9746371943245267
gainsboro,147,TTC3,0.948003684559509
darkgrey,50,RAB1A,0.9331939426838972
snow,102,ITPR2,0.9131847032605437
lightgrey,48,VPS13A,0.832359312875149
silver,83,RPL10,0.975206546243551
firebrick,91,SLC23A2,0.848915216553692
lightcoral,60,TMEM131,0.9318903935391202
whitesmoke,22,LCOR,0.957614205371593
brown,49,SMC5,0.9336694786785092
