"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1963.1","MA1963.1",3,1634,3.8961038961039,4.085,0.953758603697404,0.613918275773578,"SATB1",0.675455888924249
"MA0661.1","MA0661.1",2,1070,2.5974025974026,2.675,0.970991625197233,0.613962072447041,"MEOX1",0.675455888924249
"MA1642.1","MA1642.1",6,3296,7.79220779220779,8.24,0.945656285462111,0.616938275832651,"NEUROG2.1",0.67765283631142
"MA0759.2","MA0759.2",5,2792,6.49350649350649,6.98,0.930301789900644,0.630860044069659,"ELK3",0.691846514257059
"MA1542.1","MA1542.1",2,1115,2.5974025974026,2.7875,0.931803622386582,0.636504446012293,"OSR1",0.696678057222342
"MA1420.1","MA1420.1",3,1691,3.8961038961039,4.2275,0.921609437280638,0.63727920552275,"IRF5",0.696678057222342
"MA0030.1","MA0030.1",4,2296,5.19480519480519,5.74,0.905018326621114,0.651506834763049,"FOXF2",0.711108406397524
"MA0836.2","MA0836.2",4,2307,5.19480519480519,5.7675,0.90070311136631,0.655257713114307,"CEBPD",0.713165643351088
"MA0635.1","MA0635.1",1,550,1.2987012987013,1.375,0.944510035419126,0.656001324456596,"BARHL2",0.713165643351088
"MA1505.1","MA1505.1",1,555,1.2987012987013,1.3875,0.936000936000936,0.659345561717373,"HOXC8",0.713165643351088
"MA1730.1","MA1730.1",9,5095,11.6883116883117,12.7375,0.917629965716325,0.659876398166697,"ZNF708",0.713165643351088
"MA0058.3","MA0058.3",3,1750,3.8961038961039,4.375,0.890538033395176,0.660430356633363,"MAX",0.713165643351088
"MA1945.1","MA1945.1",10,5646,12.987012987013,14.115,0.920085936026425,0.661239053829825,"ETV5::FIGLA",0.713165643351088
"MA0710.1","MA0710.1",2,1169,2.5974025974026,2.9225,0.888760512370435,0.662204767004181,"NOTO",0.713165643351088
"MA0725.1","MA0725.1",2,1169,2.5974025974026,2.9225,0.888760512370435,0.662204767004181,"VSX1",0.713165643351088
"MA0722.1","MA0722.1",2,1170,2.5974025974026,2.925,0.888000888000888,0.662666920050216,"VAX1",0.713165643351088
"MA0765.3","MA0765.3",4,2338,5.19480519480519,5.845,0.888760512370435,0.665687094392329,"ETV5",0.71530352378803
"MA0068.2","MA0068.2",1,568,1.2987012987013,1.42,0.914578379367112,0.667891139341199,"PAX4",0.716559175851332
"MA0711.1","MA0711.1",1,577,1.2987012987013,1.4425,0.900312858718405,0.673683006399008,"OTX1",0.721654242148783
"MA0878.3","MA0878.3",3,1808,3.8961038961039,4.52,0.861969888518561,0.682158140196221,"CDX1",0.729603451338153
"MA0610.1","MA0610.1",2,1218,2.5974025974026,3.045,0.853005779114154,0.684268031677917,"DMRT3",0.730730675804196
"MA1935.1","MA1935.1",9,5216,11.6883116883117,13.04,0.896342920882798,0.688034454895486,"ERF::FOXI1",0.732660070025972
"MA0907.1","MA0907.1",2,1227,2.5974025974026,3.0675,0.846749013008182,0.688192262307633,"HOXC13",0.732660070025972
"MA0795.1","MA0795.1",1,606,1.2987012987013,1.515,0.857228580000857,0.691675848905979,"SMAD3",0.735237615119719
"MA0028.2","MA0028.2",4,2436,5.19480519480519,6.09,0.853005779114154,0.697269676358357,"ELK1",0.740046957116539
"MA0904.2","MA0904.2",1,620,1.2987012987013,1.55,0.837871805613741,0.70000800487366,"HOXB5",0.741815527369942
"MA0703.2","MA0703.2",2,1291,2.5974025974026,3.2275,0.804772299737443,0.714972618431019,"LMX1B",0.75651536996065
"MA0664.1","MA0664.1",2,1299,2.5974025974026,3.2475,0.799816042310269,0.718183458808762,"MLXIPL",0.758752600756738
"MA0702.2","MA0702.2",2,1305,2.5974025974026,3.2625,0.79613872717321,0.720571955620198,"LMX1A",0.760115538550575
"MA0500.2","MA0500.2",7,4279,9.09090909090909,10.6975,0.849816227240859,0.729520197110036,"MYOG",0.768383525723203
"MA1473.1","MA1473.1",3,1968,3.8961038961039,4.92,0.791891035793475,0.736808698142535,"CDX4",0.774880880113426
"MA0663.1","MA0663.1",2,1360,2.5974025974026,3.4,0.763941940412529,0.741693846046036,"MLX",0.778834812539996
"MA1957.1","MA1957.1",3,1995,3.8961038961039,4.9875,0.78117371350454,0.745276175279272,"HOXB2::ELK1",0.781410777717055
"MA1561.1","MA1561.1",1,712,1.2987012987013,1.78,0.729607471180505,0.749494005577189,"SOX12",0.784644253947678
"MA0827.1","MA0827.1",1,747,1.2987012987013,1.8675,0.69542238216937,0.766124300474771,"OLIG3",0.800842924363356
"MA0628.1","MA0628.1",1,761,1.2987012987013,1.9025,0.682628803522365,0.772466978437304,"POU6F1",0.806255126815406
"MA0658.1","MA0658.1",1,782,1.2987012987013,1.955,0.664297339489155,0.781663955577693,"LHX6",0.814625688644222
"MA0906.1","MA0906.1",1,811,1.2987012987013,2.0275,0.640543180617163,0.793764054705845,"HOXC12",0.825992068957059
"MA1497.1","MA1497.1",1,817,1.2987012987013,2.0425,0.635839069131603,0.796183616861075,"HOXA6",0.827265860161958
"MA0612.2","MA0612.2",1,833,1.2987012987013,2.0825,0.623626073806146,0.802499654769371,"EMX1",0.83257835247437
"MA1109.1","MA1109.1",5,3449,6.49350649350649,8.6225,0.753088604639779,0.80425786925468,"NEUROD1",0.833153361563231
"MA1509.1","MA1509.1",1,841,1.2987012987013,2.1025,0.61769384004818,0.805584831108137,"IRF6",0.833280572685846
"MA0899.1","MA0899.1",3,2226,3.8961038961039,5.565,0.700108516820107,0.809243997624936,"HOXA10",0.835677380117576
"MA0139.1","MA0139.1",14,8673,18.1818181818182,21.6825,0.838548054044422,0.810317228408805,"CTCF",0.835677380117576
"MA1484.1","MA1484.1",3,2237,3.8961038961039,5.5925,0.696665873241644,0.811928104749495,"ETS2",0.836092631676563
"MA0063.2","MA0063.2",3,2313,3.8961038961039,5.7825,0.673774992841141,0.829629200340572,"NKX2-5",0.853051124272921
"MA1638.1","MA1638.1",4,2995,5.19480519480519,7.4875,0.693797021009041,0.837500893575365,"HAND2",0.859867386282125
"MA0726.1","MA0726.1",1,940,1.2987012987013,2.35,0.552638850511191,0.840045099653149,"VSX2",0.86027428569695
"MA1528.1","MA1528.1",4,3010,5.19480519480519,7.525,0.690339560771455,0.840383550767541,"NFIX.1",0.86027428569695
"MA0748.2","MA0748.2",4,3049,5.19480519480519,7.6225,0.681509372883594,0.847682865197097,"YY2",0.866464612579603
"MA0158.2","MA0158.2",1,992,1.2987012987013,2.48,0.523669878508588,0.855653789090394,"HOXA5",0.872236248349731
"MA1946.1","MA1946.1",6,4349,7.79220779220779,10.8725,0.716689610688231,0.855850307268016,"ETV5::FOXI1",0.872236248349731
"MA1562.1","MA1562.1",1,1067,1.2987012987013,2.6675,0.48686084299955,0.875552877374604,"SOX14",0.891003810504744
"MA0842.2","MA0842.2",2,2010,2.5974025974026,5.025,0.516896039284099,0.904439309351384,"NRL",0.919048461191127
"MA0673.1","MA0673.1",2,2158,2.5974025974026,5.395,0.481446264578795,0.924845448552562,"NKX2-8",0.938406232255679
"MA0526.4","MA0526.4",1,1365,1.2987012987013,3.4125,0.380571809143238,0.931168477014167,"USF2",0.942345851623867
"MA0763.1","MA0763.1",2,2214,2.5974025974026,5.535,0.469268761951689,0.931451679928793,"ETV3",0.942345851623867
"MA0686.1","MA0686.1",1,1578,1.2987012987013,3.945,0.329201850114398,0.955049789197047,"SPDEF",0.964809422079352
"MA1722.1","MA1722.1",1,1597,1.2987012987013,3.9925,0.325285234489993,0.956731228522234,"ZSCAN31",0.965099140141962
"MA0669.1","MA0669.1",0,1306,0,3.265,0,1,"NEUROG2",1
"MA1557.1","MA1557.1",0,518,0,1.295,0,1,"SMAD5",1
"MA0900.2","MA0900.2",0,619,0,1.5475,0,1,"HOXA2",1
"MA1968.1","MA1968.1",0,649,0,1.6225,0,1,"TFCP2",1
"MA0754.2","MA0754.2",0,476,0,1.19,0,1,"CUX1",1
"MA0756.2","MA0756.2",0,340,0,0.85,0,1,"ONECUT2",1
