"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA1584.1","MA1584.1",4,3111,14.8148148148148,7.7775,1.90482993440242,0.154139403808344,"ZIC5",0.482644649028842
"MA1569.1","MA1569.1",3,2038,11.1111111111111,5.095,2.18078726420238,0.156566854684219,"TFAP2E",0.487085654028373
"MA0069.1","MA0069.1",2,1052,7.40740740740741,2.63,2.8165047176454,0.157898824177597,"PAX6",0.487085654028373
"MA1656.1","MA1656.1",5,4303,18.5185185185185,10.7575,1.72145187250927,0.158318195730754,"ZNF449",0.487085654028373
"MA0822.1","MA0822.1",2,1054,7.40740740740741,2.635,2.81116030641647,0.158373225659514,"HES7",0.487085654028373
"MA0471.2","MA0471.2",7,6765,25.9259259259259,16.9125,1.53294462237552,0.159082659215596,"E2F6",0.487102655651294
"MA1579.1","MA1579.1",5,4328,18.5185185185185,10.82,1.71150818100911,0.161091900946894,"ZBTB26",0.487243567386286
"MA0902.2","MA0902.2",2,1067,7.40740740740741,2.6675,2.77690999340484,0.161463870140252,"HOXB2",0.487243567386286
"MA0895.1","MA0895.1",2,1069,7.40740740740741,2.6725,2.77171465197658,0.16194041970511,"HMBOX1",0.487243567386286
"MA0802.1","MA0802.1",4,3174,14.8148148148148,7.935,1.86702140073281,0.162305906044244,"TBR1",0.487243567386286
"MA0682.2","MA0682.2",2,1078,7.40740740740741,2.695,2.7485741771456,0.164088333619082,"PITX1",0.487243567386286
"MA0028.2","MA0028.2",3,2086,11.1111111111111,5.215,2.13060615745179,0.164424810209715,"ELK1",0.487243567386286
"MA1636.1","MA1636.1",4,3202,14.8148148148148,8.005,1.85069516737224,0.165989410968816,"CEBPG.1",0.487243567386286
"MA0707.2","MA0707.2",2,1087,7.40740740740741,2.7175,2.7258168932502,0.166241774986544,"MNX1",0.487243567386286
"MA0838.1","MA0838.1",2,1090,7.40740740740741,2.725,2.71831464492015,0.166960793200766,"CEBPG",0.487243567386286
"MA0673.1","MA0673.1",3,2102,11.1111111111111,5.255,2.1143884131515,0.167072008598873,"NKX2-8",0.487243567386286
