"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0527.1","MA0527.1",4,2451,10.8108108108108,6.1275,1.76431020984265,0.189122380564161,"ZBTB33",0.306799148416022
"MA1536.1","MA1536.1",4,2452,10.8108108108108,6.13,1.76359067060535,0.189311035222025,"NR2C2.1",0.306799148416022
"MA1722.1","MA1722.1",3,1635,8.10810810810811,4.0875,1.98363501115795,0.191564830700342,"ZSCAN31",0.309726315057562
"MA1420.1","MA1420.1",3,1643,8.10810810810811,4.1075,1.97397641098189,0.193452754453686,"IRF5",0.312049664526691
"MA0894.1","MA0894.1",2,882,5.40540540540541,2.205,2.45143102285959,0.196118142942907,"HESX1",0.315613383526724
"MA1132.1","MA1132.1",4,2496,10.8108108108108,6.24,1.73250173250173,0.197675197951461,"JUN::JUNB",0.316849765387074
"MA0804.1","MA0804.1",2,887,5.40540540540541,2.2175,2.43761235869466,0.197802165675168,"TBX19",0.316849765387074
"MA1509.1","MA1509.1",2,891,5.40540540540541,2.2275,2.42666909333576,0.199150798492148,"IRF6",0.317690027294168
"MA0707.2","MA0707.2",2,892,5.40540540540541,2.23,2.42394861228942,0.199488149692858,"MNX1",0.317690027294168
"MA0056.2","MA0056.2",5,3383,13.5135135135135,8.4575,1.59781419018782,0.199829796271931,"MZF1",0.317690027294168
"MA0009.2","MA0009.2",2,894,5.40540540540541,2.235,2.41852590845879,0.200163080780718,"TBXT",0.317690027294168
"MA0775.1","MA0775.1",4,2526,10.8108108108108,6.315,1.71192570242451,0.20344694536221,"MEIS3",0.322163126294392
"MA0878.3","MA0878.3",3,1689,8.10810810810811,4.2225,1.92021506408718,0.20440309991505,"CDX1",0.322938230916015
"MA0905.1","MA0905.1",2,912,5.40540540540541,2.28,2.37079184447605,0.20625066327685,"HOXC10",0.325114940746196
"MA0769.2","MA0769.2",4,2547,10.8108108108108,6.3675,1.69781088509004,0.207519106461213,"TCF7",0.326370958343545
"MA0158.2","MA0158.2",2,924,5.40540540540541,2.31,2.34000234000234,0.21032147460267,"HOXA5",0.329811620618612
"MA0715.1","MA0715.1",3,1715,8.10810810810811,4.2875,1.89110393192026,0.210660023574316,"PROP1",0.329811620618612
"MA1636.1","MA1636.1",4,2566,10.8108108108108,6.415,1.68523940932359,0.211225420557213,"CEBPG.1",0.329950318342193
"MA1640.1","MA1640.1",3,1728,8.10810810810811,4.32,1.87687687687688,0.213805698318555,"MEIS2.1",0.333228700982973
"MA1651.1","MA1651.1",5,3471,13.5135135135135,8.6775,1.55730492809145,0.214536328153118,"ZFP42",0.333616042880804
"MA0798.3","MA0798.3",3,1738,8.10810810810811,4.345,1.8660778154449,0.216232972769749,"RFX3",0.335500486898354
"MA0838.1","MA0838.1",2,952,5.40540540540541,2.38,2.27117874176698,0.219854391578135,"CEBPG",0.340356239311117
"MA1953.1","MA1953.1",7,5375,18.9189189189189,13.4375,1.40791954745443,0.222206471557452,"FOXO1::ELF1",0.343030658605153
"MA0510.2","MA0510.2",3,1764,8.10810810810811,4.41,1.8385732671447,0.222573360857968,"RFX5",0.343030658605153
"MA0783.1","MA0783.1",4,2632,10.8108108108108,6.58,1.64298036638462,0.224254523066737,"PKNOX2",0.344853622138182
"MA1639.1","MA1639.1",3,1773,8.10810810810811,4.4325,1.82924040792061,0.22477767725212,"MEIS1.1",0.34489169103873
"MA0083.3","MA0083.3",2,972,5.40540540540541,2.43,2.22444666889111,0.226689379441596,"SRF",0.347055421622975
"MA0895.1","MA0895.1",2,975,5.40540540540541,2.4375,2.21760221760222,0.227716259654368,"HMBOX1",0.347320470769487
"MA0774.1","MA0774.1",4,2653,10.8108108108108,6.6325,1.62997524475097,0.228447963560192,"MEIS2",0.347320470769487
"MA0864.2","MA0864.2",2,978,5.40540540540541,2.445,2.21079975681203,0.228743537054828,"E2F2",0.347320470769487
"MA1979.1","MA1979.1",6,4479,16.2162162162162,11.1975,1.44819970673956,0.228870136807639,"ZNF416",0.347320470769487
"MA0689.1","MA0689.1",5,3564,13.5135135135135,8.91,1.51666818333485,0.230471804849602,"TBX20",0.348985752638785
"MA1116.1","MA1116.1",7,5452,18.9189189189189,13.63,1.38803513711804,0.233075749164784,"RBPJ",0.351498320188262
"MA0143.4","MA0143.4",3,1807,8.10810810810811,4.5175,1.79482193870683,0.233147007176896,"SOX2",0.351498320188262
"MA0692.1","MA0692.1",3,1853,8.10810810810811,4.6325,1.75026618631584,0.244567737005275,"TFEB",0.367914943494892
"MA1728.1","MA1728.1",8,6532,21.6216216216216,16.33,1.32404296519422,0.249010547667873,"ZNF549",0.373785898017718
"MA1641.1","MA1641.1",4,2766,10.8108108108108,6.915,1.56338551132477,0.251369663386065,"MYF5",0.376510404898607
"MA0891.1","MA0891.1",2,1057,5.40540540540541,2.6425,2.04556495947224,0.255905935220927,"GSC2",0.382477121323718
"MA1645.1","MA1645.1",5,3713,13.5135135135135,9.2825,1.45580538793574,0.256750050602646,"NKX2-2",0.382911713398774
"MA0725.1","MA0725.1",2,1063,5.40540540540541,2.6575,2.03401896722687,0.257975096427022,"VSX1",0.383398338205197
"MA1601.2","MA1601.2",5,3721,13.5135135135135,9.3025,1.45267546503773,0.258184430063037,"ZNF75D",0.383398338205197
"MA1958.1","MA1958.1",3,1937,8.10810810810811,4.8425,1.67436409047147,0.26566963282615,"HOXD12::ELK1",0.393668920590355
"MA1113.2","MA1113.2",3,1948,8.10810810810811,4.87,1.6649092624452,0.268453143911806,"PBX2",0.396943537578995
"MA0767.1","MA0767.1",2,1112,5.40540540540541,2.78,1.94439043359907,0.274886796494862,"GCM2",0.405589900158731
"MA0866.1","MA0866.1",3,1982,8.10810810810811,4.955,1.63634876046581,0.277081761280209,"SOX21",0.407761599467554
"MA1541.1","MA1541.1",4,2892,10.8108108108108,7.23,1.49527120481477,0.277537158019101,"NR6A1",0.407761599467554
"MA0495.3","MA0495.3",4,2916,10.8108108108108,7.29,1.48296444592741,0.282582084108409,"MAFF",0.414294072464023
"MA0468.1","MA0468.1",3,2016,8.10810810810811,5.04,1.60875160875161,0.285744159422973,"DUX4",0.418044309346083
"MA0714.1","MA0714.1",2,1159,5.40540540540541,2.8975,1.86554112352214,0.291108296873187,"PITX3",0.42499354733385
"MA0703.2","MA0703.2",2,1175,5.40540540540541,2.9375,1.84013801035078,0.296625258230599,"LMX1B",0.432136165674894
"MA0137.3","MA0137.3",5,3935,13.5135135135135,9.8375,1.37367354648168,0.297296179175848,"STAT1",0.432203689053964
"MA0702.2","MA0702.2",2,1194,5.40540540540541,2.985,1.81085608221287,0.303170785179271,"LMX1A",0.439439286409626
"MA0777.1","MA0777.1",1,389,2.7027027027027,0.9725,2.77912874313903,0.30354332211532,"MYBL2",0.439439286409626
"MA0776.1","MA0776.1",1,403,2.7027027027027,1.0075,2.68258332774462,0.312597393510337,"MYBL1",0.451602079977356
"MA1507.1","MA1507.1",2,1224,5.40540540540541,3.06,1.76647235470765,0.313488865708752,"HOXD4",0.45194644806345
"MA0634.1","MA0634.1",2,1230,5.40540540540541,3.075,1.757855416392,0.315549508216829,"ALX3",0.453471602261776
"MA0797.1","MA0797.1",3,2136,8.10810810810811,5.34,1.51837230488916,0.316512693486182,"TGIF2",0.453471602261776
"MA1960.1","MA1960.1",3,2136,8.10810810810811,5.34,1.51837230488916,0.316512693486182,"MGA::EVX1",0.453471602261776
