"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0599.1","MA0599.1",1,12100,50,30.25,1.65289256198347,0.513499024975624,"KLF5",1
"MA0039.4","MA0039.4",1,12289,50,30.7225,1.62747172267882,0.520068120453011,"KLF4",1
"MA1630.2","MA1630.2",1,12339,50,30.8475,1.62087689439987,0.521798507462686,"ZNF281",1
"MA1596.1","MA1596.1",1,12349,50,30.8725,1.61956433719329,0.522144209855246,"ZNF460",1
"MA1961.1","MA1961.1",1,12349,50,30.8725,1.61956433719329,0.522144209855246,"PATZ1",1
"MA0685.2","MA0685.2",1,12483,50,31.2075,1.60217896339021,0.52676456161404,"SP4",1
"MA1653.1","MA1653.1",1,12508,50,31.27,1.59897665494084,0.527624083102078,"ZNF148",1
"MA1723.1","MA1723.1",1,15075,50,37.6875,1.32669983416252,0.611721105527638,"PRDM9",1
"MA0030.1","MA0030.1",0,2455,0,6.1375,0,1,"FOXF2",1
"MA0031.1","MA0031.1",0,2377,0,5.9425,0,1,"FOXD1",1
"MA0051.1","MA0051.1",0,3935,0,9.8375,0,1,"IRF2",1
"MA0059.1","MA0059.1",0,1737,0,4.3425,0,1,"MAX::MYC",1
"MA0069.1","MA0069.1",0,1117,0,2.7925,0,1,"PAX6",1
"MA0070.1","MA0070.1",0,1795,0,4.4875,0,1,"PBX1",1
"MA0071.1","MA0071.1",0,2369,0,5.9225,0,1,"RORA",1
"MA0072.1","MA0072.1",0,2183,0,5.4575,0,1,"RORA.1",1
"MA0074.1","MA0074.1",0,1711,0,4.2775,0,1,"RXRA::VDR",1
"MA0077.1","MA0077.1",0,1728,0,4.32,0,1,"SOX9",1
"MA0084.1","MA0084.1",0,2943,0,7.3575,0,1,"SRY",1
"MA0091.1","MA0091.1",0,2392,0,5.98,0,1,"TAL1::TCF3",1
"MA0119.1","MA0119.1",0,2523,0,6.3075,0,1,"NFIC::TLX1",1
"MA0139.1","MA0139.1",0,8834,0,22.085,0,1,"CTCF",1
"MA0155.1","MA0155.1",0,5577,0,13.9425,0,1,"INSM1",1
"MA0259.1","MA0259.1",0,1078,0,2.695,0,1,"ARNT::HIF1A",1
"MA0468.1","MA0468.1",0,2351,0,5.8775,0,1,"DUX4",1
"MA0476.1","MA0476.1",0,4033,0,10.0825,0,1,"FOS",1
"MA0478.1","MA0478.1",0,3948,0,9.87,0,1,"FOSL2",1
"MA0479.1","MA0479.1",0,2365,0,5.9125,0,1,"FOXH1",1
"MA0497.1","MA0497.1",0,5146,0,12.865,0,1,"MEF2C",1
"MA0501.1","MA0501.1",0,3482,0,8.705,0,1,"MAF::NFE2",1
"MA0517.1","MA0517.1",0,8283,0,20.7075,0,1,"STAT1::STAT2",1
"MA0523.1","MA0523.1",0,3221,0,8.0525,0,1,"TCF7L2",1
"MA0527.1","MA0527.1",0,2463,0,6.1575,0,1,"ZBTB33",1
