"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"MA0644.2","MA0644.2",15,944,2.18340611353712,2.36,0.925172082007253,0.65616598594657,"ESX1",0.780183612156402
"MA0075.3","MA0075.3",19,1191,2.76564774381368,2.9775,0.928848948384108,0.660792985575568,"PRRX2",0.78433747172949
"MA0464.2","MA0464.2",18,1133,2.62008733624454,2.8325,0.925008768312283,0.664928716751707,"BHLHE40",0.787894986287982
"MA1568.1","MA1568.1",14,892,2.03784570596798,2.23,0.913832155142591,0.670945035756402,"TCF21",0.793664896997317
"MA1519.1","MA1519.1",13,834,1.89228529839884,2.085,0.907570886522223,0.676849428620995,"LHX5",0.799282943013189
"MA1720.1","MA1720.1",42,2596,6.11353711790393,6.49,0.941993392589203,0.679078357675915,"ZNF85",0.800151379868802
"MA1504.1","MA1504.1",21,1327,3.05676855895197,3.3175,0.921407252133222,0.679897415264242,"HOXC4",0.800151379868802
"MA1468.1","MA1468.1",22,1392,3.20232896652111,3.48,0.920209473138249,0.684995271918636,"ATOH7",0.804782220997786
"MA0912.2","MA0912.2",15,966,2.18340611353712,2.415,0.904101910367336,0.689945441682347,"HOXD3",0.809224145159634
"MA0099.3","MA0099.3",52,3217,7.56914119359534,8.0425,0.941142827926061,0.697445288089304,"FOS::JUN",0.816085963437757
"MA0517.1","MA0517.1",128,7738,18.6317321688501,19.345,0.963129086009308,0.698154465831145,"STAT1::STAT2",0.816085963437757
"MA0889.1","MA0889.1",12,791,1.74672489082969,1.9775,0.883299565527026,0.707874255732733,"GBX1",0.825946337324055
"MA0726.1","MA0726.1",15,979,2.18340611353712,2.4475,0.892096471312408,0.708977058338856,"VSX2",0.825946337324055
"MA0027.2","MA0027.2",14,919,2.03784570596798,2.2975,0.886983985187368,0.712326130035424,"EN1",0.828453247032796
"MA0836.2","MA0836.2",36,2270,5.24017467248908,5.675,0.923378796914376,0.713661691100713,"CEBPD",0.8286139098015
"MA0692.1","MA0692.1",29,1847,4.22125181950509,4.6175,0.914185559178147,0.716750214610965,"TFEB",0.829055794515208
"MA1634.1","MA1634.1",70,4322,10.1892285298399,10.805,0.943010507157787,0.717705032538012,"BATF",0.829055794515208
"MA1963.1","MA1963.1",27,1726,3.93013100436681,4.315,0.910806721753607,0.718114196807276,"SATB1",0.829055794515208
"MA1128.1","MA1128.1",59,3664,8.58806404657933,9.16,0.937561577137481,0.71883450391492,"FOSL1::JUN",0.829055794515208
"MA1496.1","MA1496.1",15,989,2.18340611353712,2.4725,0.88307628454484,0.723127785104905,"HOXA4",0.832449326062399
"MA0684.2","MA0684.2",58,3612,8.44250363901019,9.03,0.934939494906998,0.725024642008912,"RUNX3",0.832449326062399
"MA0009.2","MA0009.2",14,928,2.03784570596798,2.32,0.878381769813783,0.72538575666998,"TBXT",0.832449326062399
"MA0462.2","MA0462.2",71,4396,10.334788937409,10.99,0.940381158999911,0.727643128902369,"BATF::JUN",0.833657359603377
"MA0875.1","MA0875.1",19,1243,2.76564774381368,3.1075,0.889991228902231,0.7295182003137,"BARX1",0.834424123334017
"MA0760.1","MA0760.1",44,2777,6.40465793304221,6.9425,0.922529050492216,0.733201115716064,"ERF",0.837252759200522
"MA0476.1","MA0476.1",63,3932,9.1703056768559,9.83,0.932889692457365,0.739157693693652,"FOS",0.84266412526525
"MA0485.2","MA0485.2",12,817,1.74672489082969,2.0425,0.855189665032898,0.747469608198455,"HOXC9",0.849468725379254
"MA1138.1","MA1138.1",53,3341,7.71470160116448,8.3525,0.923639820552467,0.748225263401778,"FOSL2::JUNB",0.849468725379254
"MA0651.2","MA0651.2",10,690,1.45560407569141,1.725,0.843828449676181,0.748809136533735,"HOXC11",0.849468725379254
"MA0877.3","MA0877.3",6,432,0.873362445414847,1.08,0.808668930939673,0.753476289400177,"BARHL1",0.853364308125896
"MA0490.2","MA0490.2",60,3776,8.73362445414847,9.44,0.925172082007253,0.756742235236747,"JUNB.1",0.855662788862466
"MA0873.1","MA0873.1",9,632,1.31004366812227,1.58,0.829141562102703,0.759225695645417,"HOXD12",0.857070442718807
"MA0132.2","MA0132.2",14,957,2.03784570596798,2.3925,0.851764140425487,0.764872067447752,"PDX1",0.862038225853167
"MA1130.1","MA1130.1",54,3428,7.86026200873363,8.57,0.917183431590855,0.767543986021821,"FOSL2::JUN",0.863642989149756
"MA0655.1","MA0655.1",45,2884,6.55021834061135,7.21,0.908490754592421,0.770298143340267,"JDP2",0.865334927258871
"MA1507.1","MA1507.1",19,1279,2.76564774381368,3.1975,0.86494065482836,0.771703622174047,"HOXD4",0.865508762632804
"MA1633.2","MA1633.2",60,3804,8.73362445414847,9.51,0.918362192865244,0.77585128037867,"BACH1",0.868752566378705
"MA1144.1","MA1144.1",49,3152,7.13245997088792,7.88,0.905134514072071,0.787643400890691,"FOSL2::JUND",0.880531879509464
"MA1955.1","MA1955.1",66,4192,9.60698689956332,10.48,0.916697223240775,0.791356199906945,"FOXO1::ELK3",0.883255629573558
"MA0658.1","MA0658.1",11,791,1.60116448326055,1.9775,0.809691268399774,0.800148041969666,"LHX6",0.890922555155052
"MA0908.1","MA0908.1",12,858,1.74672489082969,2.145,0.814323958428762,0.802302192533602,"HOXD11",0.890922555155052
"MA1498.2","MA1498.2",13,923,1.89228529839884,2.3075,0.820058634192345,0.802308106750821,"HOXA7",0.890922555155052
"MA1503.1","MA1503.1",11,794,1.60116448326055,1.985,0.806631981491463,0.803961810966565,"HOXB9",0.890922555155052
"MA0804.1","MA0804.1",13,925,1.89228529839884,2.3125,0.81828553444274,0.804662712387149,"TBX19",0.890922555155052
"MA0623.2","MA0623.2",8,599,1.16448326055313,1.4975,0.777618204042157,0.80897418634813,"NEUROG1",0.89426539449346
"MA0688.1","MA0688.1",47,3065,6.84133915574964,7.6625,0.89283382130501,0.811832441591698,"TBX2",0.895993699491954
"MA1956.1","MA1956.1",71,4534,10.334788937409,11.335,0.911759059321484,0.813804974180754,"FOXO1::FLI1",0.896740512950767
"MA0902.2","MA0902.2",14,1010,2.03784570596798,2.525,0.807067606323951,0.826659258054474,"HOXB2",0.908738860305455
"MA0715.1","MA0715.1",31,2096,4.51237263464338,5.24,0.861139815771637,0.828417652507151,"PROP1",0.908738860305455
"MA1577.1","MA1577.1",12,881,1.74672489082969,2.2025,0.793064649638908,0.829007090661925,"TLX2",0.908738860305455
"MA1940.1","MA1940.1",22,1529,3.20232896652111,3.8225,0.837757741405129,0.829946473573768,"ETV2::DRGX",0.908738860305455
"MA0089.2","MA0089.2",54,3531,7.86026200873363,8.8275,0.890429001272571,0.833616465517766,"MAFG::NFE2L1",0.910701982252951
"MA0905.1","MA0905.1",14,1018,2.03784570596798,2.545,0.800725228278183,0.834835977513813,"HOXC10",0.910701982252951
"MA1502.1","MA1502.1",11,822,1.60116448326055,2.055,0.779155466306839,0.837003555943464,"HOXB8",0.910701982252951
"MA0910.2","MA0910.2",11,822,1.60116448326055,2.055,0.779155466306839,0.837003555943464,"HOXD8",0.910701982252951
"MA1108.2","MA1108.2",37,2488,5.38573508005822,6.22,0.865873807083316,0.83972866837388,"MXI1",0.912232713523901
"MA0802.1","MA0802.1",45,2994,6.55021834061135,7.485,0.87511267075636,0.844574271475723,"TBR1",0.915465402668622
